original_site_code,sitename,lat,long,country,species_name
CerMG075,"Serra das Araras, floresta ripícola",-15.6463888888889,-45.505,Brasil,Acalypha diversifolia
AmzAM142,"Lago Amanã, Bom Jesus do Baré, floresta pluvial de terra firme",-2.47888888888889,-64.7038888888889,Brasil,Miconia chrysophylla
CerMS032,"Caracol, floresta decídua",-21.9372222222222,-56.9266666666667,Brasil,Syagrus oleracea
AtlMG124,"Serro, floresta semidecídua",-18.5488888888889,-43.3877777777778,Brasil,Trema micrantha
AtlRJ024,"Poço das Antas, floresta pluvial",-22.5413888888889,-42.2866666666667,Brasil,Croton floribundus
CerMT072,"Nobres, cerradão mesotrófico",-14.7358333333333,-56.3319444444444,Brasil,Psychotria carthagenensis
CerMG200,"Rio Paranaíba, floresta ripícola",-19.1766666666667,-46.3655555555556,Brasil,Miconia prasina
AtlSC100,"Praia Grande, floresta pluvial",-29.1827777777778,-50.0113888888889,Brasil,Ilex microdonta
AtlES052,"Rio Bananal, floresta semidecídua",-19.2541666666667,-40.3813888888889,Brasil,Myrcia guianensis
CerPI043,"Ipiranga do Piauí, cerrado",-6.77916666666667,-41.7327777777778,Brasil,Simarouba versicolor
CerMT003,"Sorriso, floresta ripícola",-12.2930555555556,-55.965,Brasil,Jacaranda copaia
CerMT114,"Barão de Melgaço, cerradão brejoso",-16.6238888888889,-56.2225,Brasil,Brosimum gaudichaudii
CaaCE010,"Jaguaribe, Rio Jaguaribe, caatinga arenícola aluvional",-5.80388888888889,-38.6555555555556,Brasil,Senna acuruensis
AmzPA051,"Santarém, Reserva do Palhão, floresta pluvial de terra firme",-2.83611111111111,-54.4433333333333,Brasil,Mezilaurus itauba
AtlRS117,"Santo Amaro do Sul, floresta semidecídua",-29.9047222222222,-52.0497222222222,Brasil,Mimosa incana
AtlSC085,"Indaial, floresta pluvial",-27.09,-49.23,Brasil,Byrsonima ligustrifolia
AtlBA080,"Serra das Lontras, Arataca, floresta pluvial",-15.1647222222222,-39.3313888888889,Brasil,Inga marginata
AtlSP023,"Ilha do Cardoso, Núcleo Marujá, floresta pluvial",-25.1694444444444,-47.9905555555556,Brasil,Spirotheca rivieri
ChaMS006,"Pão de Açúcar, floresta decídua rupícola",-21.4447222222222,-57.8925,Brasil,Dilodendron bipinnatum
AtlRJ007,"Praia de Grumari, mosaico arenícola costeiro",-23.0475,-43.5252777777778,Brasil,Symphonia globulifera
CerMA019,"Gerais de Balsas, floresta ripícola",-8.23277777777778,-46.175,Brasil,Astronium graveolens
CaaBA148,"Angüera, floresta decídua",-12.1625,-39.1858333333333,Brasil,Erythroxylum petrae-caballi
CerBA016,"Jacaraci, Morro do Chapéu, cerrado rupícola",-14.965,-42.4980555555556,Brasil,Tocoyena formosa
AtlES027,"Conceição da Barra, floresta pluvial",-18.4244444444444,-39.8377777777778,Brasil,Symplocos pycnobotrya
AtlSC113,"Serra do Rio do Rastro, nanofloresta rupícola",-28.4322222222222,-49.5880555555556,Brasil,Persea willdenovii
CerSP010,"Campos Novos Paulista, cerradão distrófico",-22.5463888888889,-50.0569444444444,Brasil,Ocotea corymbosa
CaaBA129,"Morpará, Rio São Francisco, floresta decídua inundável",-11.4816666666667,-43.2441666666667,Brasil,Cynophalla hastata
CerMG182,"Bom Despacho, cerrado",-19.6758333333333,-45.3669444444444,Brasil,Erythroxylum daphnites
AmzAM037,"Serra Pirapucu, sopés, floresta pluvial subserrana",0.711666666666667,-66.1233333333333,Brasil/Venezuela,Guapira neblinensis
CerMT048,"Coxipó da Ponte, floresta ripícola",-15.6225,-56.0194444444444,Brasil,Protium heptaphyllum
CerMG233,"Monte Carmelo, cerrado",-18.8688888888889,-47.3238888888889,Brasil,Himatanthus obovatus
AmzPA039,"Belém, Parque do Utinga, floresta pluvial de terra firme",-1.41944444444444,-48.4108333333333,Brasil,Myrcia paivae
AmzMT005,"Alta Floresta, Rio Teles Pires, floresta estacional inundável",-9.63861111111111,-55.9375,Brasil,Tachigali paniculata
CerMT154,"Vila Rica, cerrado",-9.94333333333333,-51.07,Brasil,Pterodon pubescens
AtlCE014,"Aracati, savana arenícola costeira",-4.63861111111111,-37.71,Brasil,Psidium guineense
AtlSC123,"Chapadão do Lajeado, floresta pluvial de araucária",-27.63,-49.59,Brasil,Ocotea pulchra
AmzRO032,"Porto Velho, Calama, savana arborizada brejosa",-8.13777777777778,-63.6194444444444,Brasil,Compsoneura ulei
AtlMG043,"Ladainha, floresta semidecídua",-17.6141666666667,-41.7780555555556,Brasil,Mollinedia marqueteana
AtlES047,"Domingos Martins, floresta pluvial",-20.3563888888889,-40.6752777777778,Brasil,Andira fraxinifolia
AtlPE019,"Escada, floresta pluvial",-8.335,-35.1958333333333,Brasil,Tachigali densiflora
AmzRR005,"Caicubi, floresta pluvial de terra firme",-1.02861111111111,-62.0894444444444,Brasil,Clarisia racemosa
AmzAP021,"Oiapoque e Saint Georges de l’Oyapock, floresta pluvial de terra firme",3.86722222222222,-51.8027777777778,Brasil/France,Bellucia egensis
