Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,Latitude,Longitude,Outras informacoes da localidade,Jurisdicao,Destino do Material
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,F. Obermuller,RB00681453,63,23/10/2006,NA,30/10/2017,Hippocratea,NA,Hippocratea,genus,NA,NA,Magnoliophyta,Magnoliopsida,Celastrales,Hippocrateaceae,Hippocratea,NA,Espécie não Ameaçada,NA,PAE Porto Dias (Colocação do Bibi).,Brasil,Acre,Acrelândia,Espécie não Sensível,-10.0025,-66.7677778,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,G.Martinelli,RB01219058,19683,02/11/2016,NA,30/10/2017,Polygala,NA,Polygala,genus,NA,NA,Magnoliophyta,Magnoliopsida,Polygalales,Polygalaceae,Polygala,NA,Espécie Ameaçada,Em Perigo,"estrada para Taquaral, localidade de Rural. campos rupestres em afloramentos rochosos e capões de mata. Parque Nacional Sempre Vivas",Brasil,Minas Gerais,Diamantina,Espécie não Sensível,-17.8108333,-43.7427777,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A. Korte,RB00681231,5980,17/02/2011,NA,30/10/2017,Euphorbia hyssopifolia,NA,Euphorbia hyssopifolia L.,species,NA,NA,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia hyssopifolia,Espécie não Ameaçada,NA,NA,Brasil,Santa Catarina,Araquari,Espécie não Sensível,-26.46,-48.78,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jair Putzke,83142,Nº Da Autorização/Licença Sisbio: 10279,19/03/2008,20/03/2008 a 20/03/2008,07/05/2012,Pyrrhobryum spiniforme,NA,Pyrrhobryum spiniforme,species,1,NA,Bryophyta,Bryopsida,Bryales,Rhizogoniaceae,Pyrrhobryum,Pyrrhobryum spiniforme,Espécie não Ameaçada,NA,Rppn Da Unisc,Brasil,RS,Sinimbu,Espécie não Sensível,-29.529997,-52.517975,NA,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Josi Geraldo Guimaraes,RB00211046,1020,10/03/1980,NA,30/10/2017,Banisteriopsis stellaris,NA,Banisteriopsis stellaris (Griseb.) B.Gates,species,NA,NA,Magnoliophyta,Magnoliopsida,Polygalales,Malpighiaceae,Banisteriopsis,Banisteriopsis stellaris,Espécie não Ameaçada,NA,NA,Brasil,Distrito Federal,Brasília,Espécie não Sensível,-15.6666667,-47.9666667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Zappi, D.C.",RB00622100,3309,11/03/2011,NA,30/10/2017,Tephrosia,NA,Tephrosia,genus,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Tephrosia,NA,Espécie não Ameaçada,NA,"Fazenda Santa Filipina, a 20-40 km da Faz. Najá, zona de amortecimento do Parque Estadual do Xingu.",Brasil,Mato Grosso,São José do Xingu,Espécie não Sensível,-9.8497222,-52.4047222,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Iva Carneiro Leão Barros,110648,"Nº Da Autorização/Licença Sisbio: 23600, Projeto: Efeito Da Perda De Habitats Sobre A Comunidade Pteridofítica Em Remanescentes De Floresta Atlântica Nordestina",08/03/2010,09/03/2010 a 29/05/2010,24/07/2014,Adiantum tetraphyllum,NA,Adiantum tetraphyllum,species,1,NA,Pteridophyta,Filicopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum tetraphyllum,Espécie não Ameaçada,NA,Estação Ecológica De Murici,Brasil,AL,NA,Espécie não Sensível,-9.184722,-35.755556,Coordenada aproximada,NA,Destinado a laboratório
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R.C. Forzza,RB00743216,6925,22/03/2012,NA,30/10/2017,Myrcia splendens,NA,Myrcia splendens (Sw.) DC.,species,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrcia,Myrcia splendens,Espécie não Ameaçada,NA,Campinarana com buritis e capões de mata. Parque Nacional Serra da Mocidade,Brasil,Roraima,Caracaraí,Espécie não Sensível,1.2822223,-61.7425,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Barbara Rocha Venancio,923976,"Nº Da Autorização/Licença Sisbio: 49369, Projeto: Projeto Em Grande Escala Na Verificação Genética De Madeira",24/09/2015,25/09/2015 a 27/09/2015,02/07/2020,Simarouba amara,NA,Simarouba amara,species,1,NA,Magnoliophyta,Magnoliopsida,Sapindales,Simaroubaceae,Simarouba,Simarouba amara,Espécie não Ameaçada,NA,Reserva Extrativista Tapajós Arapiuns,Brasil,PA,NA,Espécie não Sensível,-3.170556,-55.236667,Coordenada exata da ocorrência,NA,Destinado a laboratório
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M.L. FONSECA,RB00168474,3084,11/12/2001,NA,30/10/2017,Andira cordata,NA,Andira cordata Arroyo ex R.T.Penn. & H.C.Lima,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Andira,Andira cordata,Espécie não Ameaçada,NA,FAZENDA TRIJUNÇÃO. ESTRADA PARA GUARÁ.,Brasil,Bahia,Cocos,Espécie não Sensível,-14.6819445,-45.8441666,NA,NA,NA
