Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,Latitude,Longitude,Outras informacoes da localidade,Jurisdicao,Destino do Material
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Eduardo Gross,652890,"Nº Da Autorização/Licença Sisbio: 43273, Projeto: Nodulação E Fixação Biológica De Nitrogênio Em Espécies De Chamaecrista Moench (Cassieae - Caesalpinioideae) E Calliandra Benth. (Ingeae - Mimosoideae) Do Estado Da Bahia",22/09/2013,23/09/2013 a 25/09/2013,05/05/2015,Calliandra viscidula,NA,Calliandra viscidula,species,3,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,Calliandra viscidula,Espécie não Ameaçada,NA,Parque Nacional Da Chapada Diamantina,Brasil,BA,NA,Espécie não Sensível,-12.944722,-41.280861,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.Mynssen,RB00618766,1203,29/11/2010,NA,30/10/2017,Gaultheria,NA,Gaultheria serrata (Vell.) Sleumer ex Kin.-Gouv. var. serrata,genus,NA,NA,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,NA,Espécie Ameaçada,Criticamente em Perigo,"Parque Nacional do Itatiaia, estrada entre a guarita do planalto e o abrigo Rebouças.",Brasil,Rio de Janeiro,Itatiaia,Espécie não Sensível,-22.385,-44.6816667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Silva, B.R.",RB00552410,1369,26/10/2004,NA,30/10/2017,Solanum,NA,Solanum kriegeri Giacomin & Stehmann,genus,NA,NA,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,NA,Espécie Ameaçada,Em Perigo,Parque Estadual do Ibitipoca. Mata nebular ente Lombada e Lagoa Seca.,Brasil,Minas Gerais,Lima Duarte,Espécie não Sensível,-21.6825,-43.8761111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.N. Fraga,RB00549137,2296,20/10/2008,NA,30/10/2017,Hypolytrum amorimii,NA,Hypolytrum amorimii M.Alves & W.W.Thomas,species,NA,NA,Magnoliophyta,Liliopsida,Poales,Cyperaceae,Hypolytrum,Hypolytrum amorimii,Espécie Ameaçada,Criticamente em Perigo,"Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",Brasil,Espírito Santo,Cariacica,Espécie não Sensível,-20.2666667,-40.5166667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,TACIANA BARBOSA CAVALCANTE,RB00209728,1170,10/03/1992,NA,30/10/2017,Cuphea,NA,Cuphea sessilifolia Mart.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Lythraceae,Cuphea,NA,Espécie Ameaçada,Criticamente em Perigo,ÁREA DE EMPRESTIMO ME 33. PRÓXIMO AO PORTÃO DE SAÍDA PARA MINAÇÚ.,Brasil,Goiás,Minaçu,Espécie não Sensível,-13.45,-48.35,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Barbara Rocha Venancio,868750,"Nº Da Autorização/Licença Sisbio: 47960, Projeto: Projeto Em Grande Escala Na Verificação Genética De Madeira",08/06/2015,09/06/2015 a 11/06/2015,14/05/2020,Tabebuia,NA,Tabebuia,genus,1,NA,Magnoliophyta,Magnoliopsida,Scrophulariales,Bignoniaceae,Tabebuia,NA,Espécie Ameaçada,Em Perigo,Reserva Extrativista Tapajós Arapiuns,Brasil,PA,NA,Espécie não Sensível,-3.255833,-55.540556,Coordenada exata da ocorrência,NA,Destinado a laboratório
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,P.Z. Giroldo,RB01313630,13,12/04/2015,NA,30/10/2017,Microstachys,NA,Microstachys,genus,NA,NA,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Microstachys,NA,Espécie não Ameaçada,NA,Estação Ecológica de Itirapina,Brasil,São Paulo,Itirapina,Espécie não Sensível,-22.235,-47.8861111,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Gustavo Martinelli,893623,"Nº Da Autorização/Licença Sisbio: 48504, Projeto: Conservação De Espécies Da Flora Criticamente Em Perigo De Extinção Do Cerrado",11/10/2015,12/10/2015 a 12/10/2015,04/05/2016,Asteraceae,NA,Asteraceae,family,1,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,NA,NA,Espécie não Ameaçada,NA,Parque Estadual Do Rio Preto,Brasil,MG,Sao Goncalo Do Rio Preto,Espécie não Sensível,-18.130556,-43.379167,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,G. Heiden,RB01146058,1051,24/05/2009,NA,30/10/2017,Baccharis gnaphalioides,NA,Baccharis gnaphalioides Spreng.,species,NA,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis gnaphalioides,Espécie não Ameaçada,NA,Ilha dos Marinheiros Marambaia.,Brasil,Rio Grande do Sul,Rio Grande,Espécie não Sensível,-31.9969444,-52.1005556,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.A. Lombardi,RB00754510,8300,11/04/2011,NA,30/10/2017,Blechnum,NA,Blechnum schomburgkii (Klotzsch) C.Chr.,genus,NA,NA,Pteridophyta,Filicopsida,Polypodiales,Blechnaceae,Blechnum,NA,Espécie Ameaçada,Criticamente em Perigo,"Parque Nacional da Serra dos Órgãos, trilha para o Alojamento 04 e a Pedra do Sino, ca.",Brasil,Rio de Janeiro,Teresópolis,Espécie não Sensível,-22.4166667,-42.9833333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. Aparecida da Silva,RB00421869,5160,22/03/2002,NA,30/10/2017,Zanthoxylum,NA,Zanthoxylum rhoifolium Lam.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,NA,Espécie não Ameaçada,NA,"Fazenda Funil. Propriedade do Grupo Itaú, faz divisa com a Fazenda do Sr. Osmar Gulhão Carneiro, nas proximidades do Rio Preto.",Brasil,Goiás,Cocalzinho de Goiás,Espécie não Sensível,-15.6402777,-48.7155556,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L.C.SOUZA,RB00142965,293,10/03/1998,NA,30/10/2017,Chamaecrista rotundifolia,NA,Chamaecrista rotundifolia (Pers.) Greene,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista rotundifolia,Espécie não Ameaçada,NA,EST. EXP.,Brasil,São Paulo,Itapetininga,Espécie não Sensível,-23.5666667,-48,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Gisela Pelissari,211908,"Nº Da Autorização/Licença Sisbio: 30360, Projeto: Moraceae Gaudich. Da Serra Da Mantiqueira: Flora E Padrões De Distribuição Geográfica",15/02/2011,16/02/2011 a 16/02/2011,31/10/2014,Dorstenia,NA,Dorstenia dolichocaula,genus,1,NA,Magnoliophyta,Magnoliopsida,Urticales,Moraceae,Dorstenia,NA,Espécie Ameaçada,Em Perigo,Proximidades Do Parque Nacional Do Itatiaia,Brasil,RJ,Itatiaia,Espécie não Sensível,-22.322778,-44.588611,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Suzana Maria Dos Santos Costa,334374,"Nº Da Autorização/Licença Sisbio: 26572, Projeto: Levantamento Florístico E Chave Interativa Para Gêneros Das Angiospermas Aquáticas E Palustres Do Parque Nacional Do Viruá, Roraima, Brasil",24/03/2011,25/03/2011 a 04/04/2011,15/09/2017,Syngonanthus umbellatus,NA,Syngonanthus umbellatus,species,1,NA,Magnoliophyta,Liliopsida,Poales,Eriocaulaceae,Syngonanthus,Syngonanthus umbellatus,Espécie não Ameaçada,NA,Parque Nacional Viruá,Brasil,RR,NA,Espécie não Sensível,1.816,-61.128,Coordenada de referência da área amostrada,NA,Depositado em coleção/museu
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Ulf Mehlig,418972,"Nº Da Autorização/Licença Sisbio: 13031, Projeto: Análise Da Vegetação Costeira Na Reserva Extrativista Marinha Caeté-Taperaçu, Braganca-Pará",05/12/2009,06/12/2009 a 06/12/2009,10/12/2015,Sapindaceae,NA,Sapindaceae,family,1,NA,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,NA,NA,Espécie não Ameaçada,NA,Reserva Extrativista Marinha De Caeté-Taperaçu,Brasil,PA,NA,Espécie não Sensível,-0.923889,-46.67,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Myrna Friederichs Landim De Souza,593250,"Nº Da Autorização/Licença Sisbio: 33770, Projeto: Levantamento Florístico Da Rebio De Santa Isabel, Se, Brasil.",20/02/2013,21/02/2013 a 21/02/2013,08/05/2014,Polygala,NA,Polygala,genus,2,NA,Magnoliophyta,Magnoliopsida,Polygalales,Polygalaceae,Polygala,NA,Espécie Ameaçada,Em Perigo,Reserva Biológica De Santa Isabel,Brasil,SE,NA,Espécie não Sensível,-10.628056,-36.704444,Coordenada de referência da área amostrada,NA,Depositado em banco de amostras biológicas
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R. M. HARLEY,RB00168479,22571,24/05/1980,NA,30/10/2017,Andira fraxinifolia,NA,Andira fraxinifolia Benth.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Andira,Andira fraxinifolia,Espécie não Ameaçada,NA,"SERRA DOS LENÇÓIS . SERRA DA LARGUINHA , CA 2 KM N.E. OF CAETÉ AÇU . .",Brasil,Bahia,NA,Espécie não Sensível,-12.6,-41.4833333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. J. Balick,RB00394056,1534,01/09/1983,NA,30/10/2017,Bidens gardneri,NA,Bidens gardneri Baker,species,NA,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens gardneri,Espécie não Ameaçada,NA,"Posto Indígena Pindaré (FUNAI POST-- Guajajara Indians), Bom  Jardim along  Rio Pindaré, ca. 15 km W of Santa Inês.",Brasil,Maranhão,NA,Espécie não Sensível,-3.5,-45.5,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Rafael Dudeque Zenni,243937,"Nº Da Autorização/Licença Sisbio: 32274, Projeto: Influência De Número E Identidade De Populações De Origem No Sucesso De Invasões Biológicas",05/03/2012,06/03/2012 a 06/03/2012,19/01/2015,Pinus taeda,NA,Pinus taeda,species,10,NA,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus taeda,Espécie não Ameaçada,NA,Floresta Nacional De Capão Bonito,Brasil,SP,NA,Espécie não Sensível,-23.881726,-48.509243,Coordenada exata da ocorrência,NA,Destinado a laboratório
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Marcio Roberto Pietrobom Da Silva,138117,"Nº Da Autorização/Licença Sisbio: 15300, Projeto: Lycophyta E Monilophyta Ocorrentes Na Floresta Nacional De Carajás, Estado Do Pará, Brasil",13/01/2007,14/01/2007 a 14/01/2007,12/08/2017,Huperzia linifolia,NA,Huperzia linifolia,species,1,NA,Lycopodiophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia linifolia,Espécie não Ameaçada,NA,Floresta Nacional De Caxiuana,Brasil,PA,NA,Espécie não Sensível,-1.978306,-51.646778,Coordenada aproximada,NA,Depositado em coleção/museu
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Fernando Antonio Bataghin,190618,"Nº Da Autorização/Licença Sisbio: 20671, Projeto: Epifitismo Vascular Na Bacia Hidrográfica Do Sorocaba/Médio Tietê, São Paulo, Brasil",20/03/2010,21/03/2010 a 20/05/2010,12/09/2017,Pecluma filicula,NA,Pecluma filicula,species,1,NA,Pteridophyta,Filicopsida,Polypodiales,Polypodiaceae,Pecluma,Pecluma filicula,Espécie não Ameaçada,NA,Bacia Hidrográfica Do Sorocaba/Médio Tietê,Brasil,SP,Ipero,Espécie não Sensível,-23.446108,-47.548889,Coordenada aproximada,NA,Destinado (outros)
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Jordão, L.S.B.",RB01370400,388,08/08/2017,NA,30/10/2017,Mimosa pteridifolia,NA,Mimosa pteridifolia Benth.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa pteridifolia,Espécie não Ameaçada,NA,"São Jorge, Parque Nacional da Chapada dos Veadeiros. campo sujo.",Brasil,Goiás,Alto Paraíso de Goiás,Espécie não Sensível,-14.1716667,-47.8272223,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R. Guedes,RB00449582,NA,06/05/1990,NA,30/10/2017,Zanthoxylum,NA,Zanthoxylum rhoifolium Lam.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,NA,Espécie não Ameaçada,NA,"Sítio Fazenda Velha, rio Macaé.",Brasil,Rio de Janeiro,Nova Friburgo,Espécie não Sensível,-22,-42.05,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"G. Pereira-Silva et. al.,",RB00833636,15727,22/10/2010,NA,30/10/2017,Coccoloba densifrons,NA,Coccoloba densifrons Mart. ex Meisn.,species,NA,NA,Magnoliophyta,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,Coccoloba densifrons,Espécie não Ameaçada,NA,LT-Jirau - Santo Antônio.,Brasil,Rondônia,Porto Velho,Espécie não Sensível,-9.2666667,-64.45,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Gerrit Davidse,RB00727863,28126,15/06/1984,NA,30/10/2017,Miconia theaezans,NA,Miconia theizans (Bonpl.) Cogn.,species,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia theaezans,Espécie não Ameaçada,NA,"Vargas: Serranía de la Costa, 2-6Km NW of the La Victoria-Colonia Tovar Highway, along the road to Costa de la Maya, ca. 8-12Km W of Colonia Tovar.",Venezuela,NA,NA,Espécie não Sensível,10.4333333,-67.35,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.F. Souza,RB00654705,38,16/09/2004,NA,30/10/2017,Psychotria,NA,Psychotria,genus,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Psychotria,NA,Espécie Ameaçada,Em Perigo,"Fazenda Brejo Novo, a 10,5 KM da Av. Otávio Mangabeira, entrando pela Av. Exupério Miranda no Bairro do Mandacaru.",Brasil,Bahia,Jequié,Espécie não Sensível,-13.9447222,-40.1091667,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Paula Procopio De Oliveira,839718,"Nº Da Autorização/Licença Sisbio: 36783, Projeto: Diagnóstico Faunístico E Florístico - Propriedades Vale, Serra Dos Alves, Mg",14/08/2012,15/08/2012 a 02/09/2012,14/12/2018,Miconia corallina,NA,Miconia corallina,species,1,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia corallina,Espécie não Ameaçada,NA,Área De Proteção Ambiental Morro Da Pedreira,Brasil,MG,NA,Espécie não Sensível,-19.475141,-43.457705,Coordenada de referência da área amostrada,NA,Solto/mantido na natureza
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,D.C. Zappi,RB00594205,1985,08/03/2009,NA,30/10/2017,Plantae,NA,Vochysia,kingdom,NA,NA,NA,NA,NA,NA,NA,NA,Espécie Ameaçada,Em Perigo,"Serra do Cipó, acesso pela Faz. Inhame. Trilha da Senhorinha, primeiro platô.",Brasil,Minas Gerais,Santana de Pirapama,Espécie não Sensível,-18.9188889,-43.7575,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Andreia Silva Flores,559273,"Nº Da Autorização/Licença Sisbio: 42090, Projeto: Subsídios À Elaboração Do Plano De Manejo Do Parque Nacional Serra Da Mocidade E Esec Niquiá: Levantamento Florístico",03/12/2013,04/12/2013 a 18/12/2013,21/10/2019,Hirtella bicornis,NA,Hirtella bicornis,species,1,NA,Magnoliophyta,Magnoliopsida,Rosales,Chrysobalanaceae,Hirtella,Hirtella bicornis,Espécie não Ameaçada,NA,Estação Ecológica Niquiá,Brasil,RR,NA,Espécie não Sensível,0.818108,-61.590081,Coordenada aproximada,NA,Depositado em coleção/museu
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Priscila Figueira De Souza,195143,"Nº Da Autorização/Licença Sisbio: 28890, Projeto: Distribuição E Diversidade Beta Da Comunidade Arbórea Ao Longo Do Gradiente Ambiental Hídrico Em Uma Floresta De Terra Firme No Interflúvio Purus-Madeira, Amazônia Central.",09/04/2011,10/04/2011 a 14/04/2011,20/09/2015,Micropholis venulosa,NA,Micropholis venulosa,species,0,NA,Magnoliophyta,Magnoliopsida,Ericales,Sapotaceae,Micropholis,Micropholis venulosa,Espécie não Ameaçada,NA,Floresta De Terra Firme Localizada No Entorno Da Rodovia Br 319.,Brasil,AM,Beruri,Espécie não Sensível,-4.984488,-61.57061,Coordenada de referência da área amostrada,NA,Será destinado posteriormente
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,W.W. Thomas,RB00687215,13388,15/03/2003,NA,30/10/2017,Cyperaceae,NA,CYPERACEAE Pleurostachys cf. tenuiflora Brongn.,family,NA,NA,Magnoliophyta,Liliopsida,Poales,Cyperaceae,NA,NA,Espécie não Ameaçada,NA,"Fazenda Serra do Teimoso, Reserva do Teimoso. Lower forest, Northern portion of reserve. Southern Bahian moist forest with elements of semi-deciduous forest.",Brasil,Bahia,Jussari,Espécie não Sensível,-15.1533333,-39.5305556,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Benkt Sparre,RB00073970,NA,20/03/1981,NA,30/10/2017,Sicyos,NA,Sicyos barbatus (Gentry) C.Jeffrey,genus,NA,NA,Magnoliophyta,Magnoliopsida,Violales,Cucurbitaceae,Sicyos,NA,Espécie não Ameaçada,NA,"ca 15km S the towa, on road to Guayaquil, Pueblo America.",Equador,NA,NA,Espécie não Sensível,-1.35,-80.5833333,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Claudia Maria Jacobi,137493,"Nº Da Autorização/Licença Sisbio: 17118, Projeto: Campos Rupestres Ferruginosos: Diversidade Local E Regional E Status De Conservação De Um Ecossistema Ameaçado",16/01/2008,17/01/2008 a 17/01/2008,09/10/2019,Paspalum carinatum,NA,Paspalum carinatum,species,2,NA,Magnoliophyta,Liliopsida,Poales,Poaceae,Paspalum,Paspalum carinatum,Espécie não Ameaçada,NA,P.E.S. Do Rola Moça,Brasil,MG,Nova Lima,Espécie não Sensível,-20.044722,-44.001111,Coordenada de referência da área amostrada,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.M. Amorim,RB00739544,2889,26/04/1999,NA,30/10/2017,Miconia tristis,NA,Miconia tristis Spring,species,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia tristis,Espécie não Ameaçada,NA,"Palmira. entrada ca. 7,5km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso.",Brasil,Bahia,Jussari,Espécie não Sensível,-15.1580556,-39.5286111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. Verdi,RB01138574,1289,10/11/2008,NA,30/10/2017,Chrysophyllum inornatum,NA,Chrysophyllum inornatum Mart.,species,NA,NA,Magnoliophyta,Magnoliopsida,Ericales,Sapotaceae,Chrysophyllum,Chrysophyllum inornatum,Espécie não Ameaçada,NA,Corruchel.,Brasil,Santa Catarina,Pouso Redondo,Espécie não Sensível,-27.3344444,-49.9422222,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L.A.A. Góes-Neto,RB01334604,781,25/03/2012,NA,30/10/2017,Diodella,NA,Diodella,genus,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Diodella,NA,Espécie não Ameaçada,NA,Parque Estadual de Serra Nova,Brasil,Minas Gerais,Rio Pardo de Minas,Espécie não Sensível,-15.6658333,-42.7763889,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R.C. Mendonça,RB00977380,3914,19/03/1999,NA,30/10/2017,Melastomataceae,NA,MELASTOMATACEAE Mouriri cf. acutiflora Naudin,family,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,NA,NA,Espécie não Ameaçada,NA,"Ilha do Bananal, Parque Nacional do Araguaia. Parque Nacional do Araguaia",Brasil,Tocantins,Lagoa da Confusão,Espécie não Sensível,-10.4594444,-50.4691667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R.C. Forzza,RB01307979,8919,17/11/2016,NA,30/10/2017,Paullinia stellata,NA,Paullinia stellata Radlk.,species,NA,NA,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Paullinia,Paullinia stellata,Espécie não Ameaçada,NA,"Próximo ao Alojamento LBA, BR 163, Km 84. FLONA Tapajós",Brasil,Pará,Belterra,Espécie não Sensível,-3.0527778,-54.9286111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Rolf A. Engelmann,RB00649079,RE220,21/02/2005,NA,30/10/2017,Hymenophyllum polyanthos,NA,Hymenophyllum polyanthos (Sw.) Sw.,species,NA,NA,Pteridophyta,Filicopsida,Polypodiales,Hymenophyllaceae,Hymenophyllum,Hymenophyllum polyanthos,Espécie não Ameaçada,NA,Parque Nacional da Serra dos Órgãos.Plot 16.,Brasil,Rio de Janeiro,Teresópolis,Espécie não Sensível,-22.4641667,-43.0133333,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jose Fernando Andrade Baumgratz,1001899,"Nº Da Autorização/Licença Sisbio: 52487, Projeto: Estudos Ontogenéticos De Inflorescências Em Miconieae (Melastomataceae,) Aplicados À Sistemática.",12/08/2016,13/08/2016 a 13/08/2016,02/02/2020,Huberia ovalifolia,NA,Huberia ovalifolia,species,1,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Huberia,Huberia ovalifolia,Espécie não Ameaçada,NA,Parque Nacional Da Tijuca,Brasil,RJ,NA,Espécie não Sensível,-22.956667,-43.275,Coordenada exata da ocorrência,NA,Depositado em banco de amostras biológicas
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Ribeiro, R.D.",RB00562821,1256,27/06/2009,NA,30/10/2017,Tephrosia adunca,NA,Tephrosia adunca Benth.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Tephrosia,Tephrosia adunca,Espécie não Ameaçada,NA,"Mina do Sossego, estrada que dá acesso ao Rio Parauapebas. Vegetação alterada de Terra Firme.",Brasil,Pará,Canaã dos Carajás,Espécie não Sensível,-6.4477777,-50.0502778,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Yule Roberta Ferreira Nunes,935708,"Nº Da Autorização/Licença Sisbio: 44907, Projeto: Dinâmica Da Vegetação Em Diferentes Altitudes Na Serra Do Cipó, Minas Gerais",19/05/2015,20/05/2015 a 18/06/2015,28/08/2020,Blepharocalyx,NA,Blepharocalyx,genus,4,NA,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Blepharocalyx,NA,Espécie não Ameaçada,NA,Parque Nacional Da Serra Do Cipó,Brasil,MG,NA,Espécie não Sensível,-19.271611,-43.605028,Coordenada de referência da área amostrada,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,E. Pessoa,RB00717936,461,17/12/2010,NA,30/10/2017,Piper aduncum,NA,Piper aduncum L.,species,NA,NA,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper aduncum,Espécie não Ameaçada,NA,"Pedra D´Anta, Interior Florestal.",Brasil,Pernambuco,Lagoa dos Gatos,Espécie não Sensível,-8.6952777,-35.86,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Amorim, A.M",RB00789028,8114,15/03/2012,NA,30/10/2017,Psychotria,NA,Psychotria,genus,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Psychotria,NA,Espécie Ameaçada,Em Perigo,Parna Serra das Lontars. Trilha de acesso ao Javi com entrada pela Vila Familia Unida. Bordo e interior de Floresta Madura.,Brasil,Bahia,Arataca,Espécie não Sensível,-15.1488889,-39.3175,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Cardoso, D.",RB00553854,2076,28/06/2007,NA,30/10/2017,Luetzelburgia harleyi,NA,"Luetzelburgia harleyi D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Luetzelburgia,Luetzelburgia harleyi,Espécie não Ameaçada,NA,ca. 5 km N da cidade na estrada para Caraguataí.,Brasil,Bahia,Jussiape,Espécie não Sensível,-13.5055556,-41.6022222,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M.P. Morim,RB00603805,523,29/11/2010,NA,30/10/2017,Myrceugenia euosma,NA,Myrceugenia euosma (O.Berg) D.Legrand,species,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrceugenia,Myrceugenia euosma,Espécie não Ameaçada,NA,"Parque Nacional de Aparados da Serra, Estrada do Cotovelo, em direção ao cânion do Itaimbezinho.",Brasil,Rio Grande do Sul,Cambará do Sul,Espécie não Sensível,-29.1577778,-50.0788889,NA,NA,NA
