Record ID,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Institution Code,Collection Code,Locality,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Year,Month,Basis Of Record,Basis Of Record - original,Occurrence status,Sex,Taxonomic Quality,Location Quality,Collector,identified _ by,identified _ date,Record number,raw _ sampling _ protocol,event _ id,Occurrence status assumed to be present,Coordinates are out of range for species,Coordinates dont match supplied country,Country inferred from coordinates,Day and month transposed,Coordinates derived from verbatim coordinates,First of the century,First of the month,First of the year,Geodetic datum assumed WGS84,Identification date before occurrence date,Incomplete collection date,Invalid collection date,Invalid scientific name,Coordinates are transposed,Min and max altitude reversed,Name not in national checklists,Latitude is negated,Longitude is negated,Collector name unparseable,Supplied country not recognised,Type status not recognised,Supplied coordinates are zero,Zero latitude,Zero longitude,Name not recognised,Collection code not recognised,Institution code not recognised,Coordinate uncertainty not valid,Kingdom not recognised,Georeferenced after occurrence date,Unrecognized geodetic datum,Depth value non-numeric,Precision / range mismatch,Basis of record badly formed,Coordinate precision and uncertainty transposed
3a156871-1899-4950-8727-1bc158082e36,dr273,Coleção de  Samambaias e Licófitas do BHCB,NA,NA,NA,NA,CC-BY-NC 4.0 (Int),44377,349326,Serpocaulon latipes,NA,Serpocaulon latipes,species,NA,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Serpocaulon,Serpocaulon latipes,NA,BHCB-SL,"Reserva Florestal de Linhares, Estrada: Flamengo. Km 1,2.",NA,NA,NA,NA,NA,NA,NA,Espírito Santo  es,NA,NA,NA,NA,NA,1996,04,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,P.W.,"Salino, A",2010-08-01,7001,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
587d1247-b4e8-4a13-b121-6717f7f86273,dr242,Herbário do Museu Botânico Municipal de Curitiba - MBM,in41,Museu Botânico Municipal,co131,Herbário do MBM,NA,385561,350010,Matayba elaeagnoides Radlk.,NA,Matayba elaeagnoides,species,Cragoatum-branco,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Matayba,Matayba elaeagnoides,MBM,HMBM,H|_x0005_,-24.10056,-50.70694,NA,-24.10056,-50.70694,NA,NA,NA,520,750,NA,NA,NA,2011,11,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,TRUE,"Adenesky-Filho, E.","Bonaldi, R.A.",2011-01-01,s.n.,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a8cc67df-1c63-4830-9769-cb2ea5b6dbc6,dr246,Base de dados do Herbário IAN,NA,NA,NA,NA,CC-BY-NC,XILO3032,303944,Trichilia micrantha Benth.,NA,Trichilia micrantha,species,Jitó branco,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Trichilia,Trichilia micrantha,IAN,NA,ìW,0,0,NA,NA,NA,NA,NA,NA,-9999,0,NA,NA,NA,1968,05,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Pires, JM; Silva, NT da",NA,NA,11665,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
792bc66f-de36-4384-a449-717e084a55c6,dr325,Herbário Professor Vasconcelos Sobrinho,in75,Universidade Federal Rural de Pernambuco,co176,Herbário Professor Vasconcelos Sobrinho,CC-BY-NC 4.0 (Int),18246,289653,Sapium glandulosum,NA,Sapium glandulosum,species,Seringarana,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Sapium,Sapium glandulosum,UFRPE,PEUFR,Socavão,NA,NA,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,NA,NA,1994,04,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,L.P. Félix; M. de Paula,V. Santos,2000-12-20,6487,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
ebef8d85-72da-4c9a-8cea-dad5e23850fd,dr324,Base de dados repatriados do tropicos.org,NA,NA,NA,NA,CC0,3185232,301406,Desmodium leiocarpum (Spreng.) G.Don,NA,Desmodium leiocarpum,species,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,Desmodium leiocarpum,MO,MO,"Occasional. Campo and gallery forest, Riberao Torto, near Sobradinho,",NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,Howard S. Irwin|R. Souza|R. Reis dos Santos,J. Grimes 90,NA,Irwin 11405,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
066c5217-6e3b-4769-a1c4-eae3e7409798,dr224,CNCFlora - Livro Vermelho 2013 - Ocorrências,NA,NA,NA,NA,CC0,IPA49872,285081,Conocliniopsis prasiifolia,NA,Conocliniopsis prasiifolia,species,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conocliniopsis,Conocliniopsis prasiifolia,CNCFlora,IPA,NA,-8.631128,-41.057183,NA,-8.631128,-41.057183,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,Occurrence,present,NA,TRUE,TRUE,Rita Pereira,Rita Pereira,NA,IPA49872HJ,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA
b1fecef4-e181-45d7-b38f-bc5cad9e160c,dr232,Amostras brasileiras new york,NA,NA,NA,NA,CC-BY-NC,NY00868302,364195,Araliaceae Schefflera sprucei (Seem.) Harms,NA,Araliaceae,family,Ginseng,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,NA,NA,NY,NY,Rio Moa between Cachoeira Grande and Serra da Moa village,-754.999.999.999.999.000,#FIELD!,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1971,04,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,G. T. Prance;,D. G. Frodin,1992-01-01,12632,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5f2e01a-927b-4848-b389-cbe966306ddc,dr392,Amostras de plantas repatriadas do Meise Botanic Garden da Bélgica,NA,NA,NA,NA,CC-BY-NC,BR0000008396402,286498,Chamaecrista flexuosa Greene,NA,Chamaecrista flexuosa,species,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista flexuosa,BR,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,preservedSpecimen,present,NA,TRUE,NA,Glaziou A.,NA,NA,3792,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
369db793-3db2-419a-a1de-a298f20e77b0,dr385,Base de dados de ocorrencias da cwrdiversity,NA,NA,NA,NA,CC0,2455450,339649,Ficus cuatrecasana Dugand,NA,Ficus,genus,NA,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,NA,Bioversity,NA,Brasil.,NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,occurrence,present,NA,TRUE,NA,NA,NA,NA,294177,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,TRUE,FALSE
2f80860f-db79-4be1-b41c-dde5dea51fac,dr232,Amostras brasileiras new york,NA,NA,NA,NA,CC-BY-NC,NY01921540,364595,Podostemaceae Rhyncholacis,NA,Podostemaceae,family,Angiospermas,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Podostemaceae,NA,NA,NY,NY,Cachoeira Porteira,-109.194.444.444.444.000,-57.036.944.444.444.400,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1980,06,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,C. Davidson;,C. T. Philbrick,2005-01-01,10354,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
