input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:2911655,32,GBIF:2911655,Randia,genus,accepted,GBIF:2911655,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Randia,,,8798,,L.,indigoberry
GBIF:7278503,33,GBIF:7278503,Copaifera langsdorffii langsdorffii,form,accepted,GBIF:7278503,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Copaifera,langsdorffii,langsdorffii,2978171,,,
GBIF:7224573,34,GBIF:7224573,Copaifera langsdorffii langsdorffii,variety,accepted,GBIF:7224573,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Copaifera,langsdorffii,langsdorffii,2978171,,,
GBIF:7360907,35,GBIF:7360907,Polypodium,genus,accepted,GBIF:7360907,Animalia,Cnidaria,Hydrozoa,Narcomedusae,Polypodiidae,Polypodium,,,6174,,"Ussow, 1887",stensötor
GBIF:2650111,36,GBIF:2650111,Polypodium,genus,accepted,GBIF:2650111,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,,,2368,,L.,Tüpfelfarn
GBIF:7286787,37,GBIF:7286787,Protium heptaphyllum heptaphyllum,subspecies,accepted,GBIF:7286787,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Protium,heptaphyllum,heptaphyllum,7286785,,,breu de caatinga
GBIF:7286786,38,GBIF:7286786,Protium heptaphyllum heptaphyllum,variety,accepted,GBIF:7286786,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Protium,heptaphyllum,heptaphyllum,7286785,,,
GBIF:8762304,39,GBIF:8762304,Protium heptaphyllum heptaphyllum,form,accepted,GBIF:8762304,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Protium,heptaphyllum,heptaphyllum,7286785,,,
GBIF:2957988,40,GBIF:2957988,Senna macranthera nervosa,variety,accepted,GBIF:2957988,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,macranthera,nervosa,2957977,,H.S.Irwin & Barneby (Vogel),
GBIF:8952933,41,GBIF:8952933,Senna macranthera nervosa,subspecies,accepted,GBIF:8952933,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,macranthera,nervosa,2957977,,H.S.Irwin & Barneby (Vogel),
GBIF:7309958,42,GBIF:7309958,Trigonia nivea nivea,variety,accepted,GBIF:7309958,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Trigoniaceae,Trigonia,nivea,nivea,7309957,,,
GBIF:7309965,43,GBIF:7309965,Trigonia nivea nivea,form,accepted,GBIF:7309965,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Trigoniaceae,Trigonia,nivea,nivea,7309957,,,
GBIF:8737409,44,GBIF:8737409,Mimosa acutistipula ferrea,subspecies,accepted,GBIF:8737409,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,acutistipula,ferrea,2969280,,Barneby,
GBIF:3794817,45,GBIF:3794817,Mimosa acutistipula ferrea,variety,accepted,GBIF:3794817,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,acutistipula,ferrea,2969280,,Barneby,Jureminha
GBIF:8922040,46,GBIF:8922040,Symphonia globulifera globulifera,subspecies,accepted,GBIF:8922040,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Symphonia,globulifera,globulifera,8185162,,,
GBIF:7330062,47,GBIF:7330062,Symphonia globulifera globulifera,variety,accepted,GBIF:7330062,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Symphonia,globulifera,globulifera,8185162,,,
GBIF:7224648,48,GBIF:7224648,Mimosa gemmulata gemmulata,variety,accepted,GBIF:7224648,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gemmulata,gemmulata,2969768,,,
GBIF:8951366,49,GBIF:8951366,Mimosa gemmulata gemmulata,subspecies,accepted,GBIF:8951366,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gemmulata,gemmulata,2969768,,,
GBIF:3248417,50,GBIF:3248417,Crassula,genus,accepted,GBIF:3248417,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Crassula,,,3454,,"Marwick, 1948",
GBIF:2985823,51,GBIF:2985823,Crassula,genus,accepted,GBIF:2985823,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,,,2406,,L.,pygmyweed
GBIF:7304866,52,GBIF:7304866,Piper arboreum arboreum,form,accepted,GBIF:7304866,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,arboreum,arboreum,7304860,,,
GBIF:7304861,53,GBIF:7304861,Piper arboreum arboreum,subspecies,accepted,GBIF:7304861,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,arboreum,arboreum,7304860,,,Ambaibillo
