SpName,Longitude,Latitude
Ocotea bicolor,-51.4825,-26.818056
Trichilia pallens,-49.229444,-26.820833
Inga marginata,-44.0431,-19.6181
Astronium graveolens,-42.02,-22.88
Psychotria schlechtendaliana,-39.070278,-16.156389
Solanum stipulaceum,-37.4333333,-8.7166667
Hirtella hebeclada,-42.8488889,-22.0744445
Attalea humilis,-40.833889,-21.011111
Eugenia pyriformis,-51.4189,-20.3672
Palicourea marcgravii,-42.879167,-16.591389
Vismia brasiliensis,-45.31,-23.22
Swartzia apetala,-39.716667,-13.6
Faramea hyacinthina,-48.33,-25.31
Matayba elaeagnoides,-52.5414,-25.3069
Triplaris gardneriana,-36.9206,-5.79944
Inga thibaudiana,-34.936667,-7.771944
Styrax camporum,-46.416667,-10.583333
Laguncularia racemosa,-44.7131,-23.2178
Swartzia oblata,-46.78,-24.18
Byrsonima crassifolia,-47.85,-15.86666667
Marlierea obversa,-39.002778,-15.338889
Cryptocarya aschersoniana,-47.2314,-24.5481
Ficus eximia,-50.3567,-23.4075
Cordiera concolor,-53.281667,-26.282222
Dalbergia miscolobium,-49.133333,-15.783333
Maytenus rigida,-38.083333,-9.483333
Boehmeria caudata,-45.1925,-22.8164
Senna splendida,-37.98680556,-9.571083333
Tabebuia cassinoides,-48.8344,-25.4769
Cecropia pachystachya,-49.064444,-24.068333
Palicourea rigida,-47.78388889,-22.25
Cynophalla flexuosa,-41.432778,-11.007222
Tapirira guianensis,-68.6569,-9.06556
Ruprechtia laxiflora,-40.4308,-13.4411
Hirtella racemosa,-38.9667,-12.2667
Aspidosperma pyrifolium,-48.391667,-13.983333
Piptadenia viridiflora,-44.32,-13.586111
Cordia trichotoma,-53.9922,-28.5169
Parkia pendula,-35.015556,-7.178056
Schefflera morototoni,-47.958611,-6.634444
Psidium nutans,-56.716667,-18.916667
Eugenia florida,-50.42,-23.27
Tocoyena formosa,-38.228056,-6.759444
Eschweilera ovata,-44.94,-4.36
Henriettea glabra,-42.53,-22.28
Conchocarpus macrophyllus,-39.7339,-14.1372
Machaerium scleroxylon,-43.9322,-14.7558
Drimys brasiliensis,-49.86,-27.54
Athenaea pogogena,-40.554444,-11.4075
Cestrum strigilatum,-50.9667,-21.75
Byrsonima crassifolia,-60.378333,-12.916111
Balfourodendron riedelianum,-42.475,-14.0694
Erythroxylum suberosum,-55.7872,-20.4711
Coussarea contracta,-49.05,-25.3
Ocotea glaziovii,-47.97,-15.95
Ossaea amygdaloides,-49.846111,-29.393611
Miconia nervosa,-61.82,-8.12
Gustavia augusta,-69.03,-9.02
Emmotum nitens,-54.9,-9.37
Senna rizzinii,-41.85,-11.183333
Xylopia aromatica,-47.62,-22.22
Senegalia martiusiana,-40.376944,-19.889444
