original_site_code,sitename,lat,long,country,species_name
AtlMG026,"Parque do Rio Doce, Ponte Queimada, floresta semidecídua",-19.7475,-42.4841666666667,Brasil,Endlicheria glomerata
AtlSC135,"Lages, floresta nebular de araucária",-27.8169444444444,-50.125,Brasil,Myrcia splendens
CerMS006,"Rio Verde de Mato Grosso, floresta ripícola",-18.7730555555556,-55.0402777777778,Brasil,Matayba guianensis
CerMT055,"Alto Paraguai, floresta ripícola",-14.4925,-56.4811111111111,Brasil,Siparuna guianensis
CerGO047,"Corumbá de Goiás, cerradão distrófico",-15.8763888888889,-48.7736111111111,Brasil,Myrcia albotomentosa
CerMG100,"São Francisco, floresta decídua",-16.005,-44.8811111111111,Brasil,Astronium fraxinifolium
AtlSC045,"Jaraguá do Sul e Guaramirim, floresta pluvial",-26.4625,-49.0516666666667,Brasil,Amaioua intermedia
CerMG017,"Alpinópolis, cerrado",-20.9252777777778,-46.2830555555556,Brasil,Siparuna guianensis
AmzAM213,"Lagoa Caça Minas, Rio Nhamundá, floresta inundável de água negra",-1.72416666666667,-57.3291666666667,Brasil,Cassia leiandra
AtlES052,"Rio Bananal, floresta semidecídua",-19.2541666666667,-40.3813888888889,Brasil,Pogonophora schomburgkiana
CaaPE030,"Lagoa Grande, caatinga quartzosa",-9.03638888888889,-40.2775,Brasil,Lonchocarpus sericeus
AtlSP142,"Jahu, floresta semidecídua",-22.3077777777778,-48.5236111111111,Brasil,Machaerium scleroxylon
AtlSP153,"Ourinhos, floresta semidecídua",-22.8419444444444,-49.8875,Brasil,Terminalia glabrescens
AmzPA041,"Capitão Poço, CPATU, floresta pluvial de terra firme",-1.74666666666667,-47.2097222222222,Brasil,Licania octandra
AtlSP073,"Picinguaba, Morro do Corisco, floresta nebular",-23.2952777777778,-44.8130555555556,Brasil,Syagrus pseudococos
CerGO078,"Nova Crixás, floresta ripícola",-14.0547222222222,-50.4936111111111,Brasil,Guarea macrophylla
AmzRO002,"Porto Velho, Jatuarana, floresta pluvial de terra firme",-8.73555555555556,-63.9897222222222,Brasil,Bellucia dichotoma
AtlPR117,"Cornélio Procópio, floresta semidecídua",-23.1938888888889,-50.6208333333333,Brasil,Piptadenia gonoacantha
AmzAM004,"Missão Salesiana de Maturacá, floresta pluvial de terra firme",0.639444444444444,-66.1216666666667,Brasil,Micropholis acutangula
AmzPA171,"Itaituba, Vila de Penedo, floresta pluvial de terra firme",-5.50777777777778,-57.1280555555556,Brasil,Lepidocaryum tenue
CerRO004,"Espigão do Oeste, cerradão mesotrófico",-11.4222222222222,-60.8816666666667,Brasil,Cordiera macrophylla
CerBA004,"Palmeiras, Campos de São João, cerrado",-12.4486111111111,-41.4694444444444,Brasil,Dimorphandra gardneriana
AmzMT020,"Colniza, Guariba, floresta estacional de terra firme",-9.3125,-60.1022222222222,Brasil,Eschweilera coriacea
CerMG039,"Cristália, cerrado",-16.7305555555556,-42.8630555555556,Brasil,Myrcia splendens
AtlRJ059,"Santa Maria Madalena, floresta pluvial",-21.9775,-42.0044444444444,Brasil,Zollernia ilicifolia
AtlRS120,"Cachoeira do Sul, floresta semidecídua",-29.9586111111111,-52.8538888888889,Brasil,Banara parviflora
CaaBA114,"Bom Jesus da Lapa, caatinga arbórea",-13.1166666666667,-43.3241666666667,Brasil,Sapium glandulosum
CerBA029,"Grande Sertão Veredas, floresta ripícola",-14.7055555555556,-45.6180555555556,Brasil,Copaifera luetzelburgii
CerPI010,"Redenção do Gurguéia, floresta ripícola",-9.45027777777778,-44.5819444444444,Brasil,Apeiba tibourbou
AmzAM140,"Serra de Parintins, floresta pluvial de terra firme",-2.44944444444444,-56.4369444444444,Brasil,Amaioua guianensis
AtlSC094,"Leoberto Leal, floresta pluvial",-27.5130555555556,-49.2586111111111,Brasil,Eugenia brevistyla
