Accepted name,Name as entered,locality/site,Country,Latitude,Longitude,Altitude (m),Vegetation type,Reference,Specimen details
Aspidosperma cuspa (Kunth) S.F.Blake ex Pittier,Aspidosperma cuspa (Kunth) S.F.Blake ex Pittier,"Araporã, floresta decidual",Brazil,-18.518600463867,-49.062801361084,666,Seasonally dry Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Hieronyma oblonga (Tul.) Müll.Arg.,Hieronyma oblonga (Tul.) Müll.Arg.,"Frei Caneca, floresta semidecidual",Brazil,-8.7455997467041,-35.897201538086,577,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Malouetia cestroides (Nees ex Mart.) Müll.Arg.,Malouetia cestroides (Nees ex Mart.) Müll.Arg.,"Pinheiro Alto, floresta semidecidual",Brazil,-20.550300598145,-43.285598754883,932,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Guapira graciliflora (Mart. ex J.A.Schmidt) Lundell,Guapira graciliflora (Mart. ex J.A.Schmidt) Lundell,"Nanuque, floresta semidecidual",Brazil,-17.83219909668,-40.280799865723,224,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Handroanthus impetiginosus (Mart. ex DC.) Mattos,Handroanthus impetiginosus (Mart. ex DC.) Mattos,Form (Bahia),Brazil,-11.087200164795,-45.135398864746,,,"HAIDAR, R.F. 2017. 2017 Tese de Doutorado, Universidade de Brasília, Brasília, DF, Brasil. Núcleo de florestas tropicais sazonalmente secas do Cerrado: diversidade, fitogeografia, endemismo, fenologia foliar e os controles ambientais e espaciais. 154",
Diospyros inconstans Jacq.,Diospyros inconstans Jacq.,"Mata da Ilha (Fazenda Cururuaçu, Ingaí)",Brazil,-21.388999938965,-44.751499176025,,,"BOTREL, R.T.; OLIVEIRA-FILHO, A.T.; RODRIGUES, L.A. & CURI, N. 2002 Influência do solo e topografia sobre as variações da composição florística e estrutura da comunidade arbóreo-arbustiva de uma floresta estacional semidecidual em Ingaí, MG. Revista Brasileira de Botânica. V.25, n.2, p.195-213",
Zeyheria tuberculosa (Vell.) Bureau,Zeyheria tuberculosa (Vell.) Bureau,"Edéia, floresta ripícola",Brazil,-16.546100616455,-49.134700775146,853,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Eugenia florida DC.,Eugenia florida DC.,"Jales, floresta semidecidual",Brazil,-20.350299835205,-50.505798339844,459,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",
Guadua paniculata Munro,Guadua paniculata Munro,"Mantena, floresta semidecidual",Brazil,-18.729700088501,-41.040000915527,381,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T.; TAMEIRÃO-NETO, E.; CARVALHO, W.A.C.; BRINA, A.E.; WERNECK, M. & ; VIDAL, C.V.; REZENDE, S.C. & PEREIRA, J.A.A. 2005  Analise floristica do compartimento arboreo de areas de floresta atlantica sensu lato na regiao das Bacias do Leste (Bahia, Minas Gerais, Espirito Santo e Rio de Janeiro). (Floristic analysis of the tree component of atlantic forest areas in central eastern Brazil .)",
Lithrea molleoides (Vell.) Engl.,Lithrea molleoides (Vell.) Engl.,"Pouso Alegre, floresta semidecidual",Brazil,-22.222499847412,-45.987201690674,1104,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Symplocos platyphylla (Pohl) Benth.,Symplocos platyphylla (Pohl) Benth.,"Tiradentes, floresta semidecidual",Brazil,-21.081899642944,-44.152198791504,1106,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,"Faria Lemos, floresta semidecidual",Brazil,-20.781099319458,-42.018100738525,554,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Cecropia pachystachya Trécul,Cecropia pachystachya Trécul,"Barbalha, floresta decidual de brejo",Brazil,-7.376699924469,-39.313301086426,956,Seasonally dry Deciduous Broadleaved Forest,"TAVARES, S., PAIVA, F.A.F., TAVARES, E.J.S. & LIMA, J.L.S. 1974  Inventario florestal do Ceará. III - Estudo preliminar das matas remanescentes do município de Barbalha. Boletim de Recursos Naturais– SUDENE 12 (2): 20-46",
