DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
BARB_00362,BARB,E0362,ARAPONGA,MATO GROSSO DO SUL,MS,Brazil,,Montane Seasonal Semideciduous Forest,-20.7216,-42.4819,Forest fragment,Serra do Brigadeiro,Ferns,Polypodiaceae,Microgramma,squamulosa,Microgramma squamulosa,holoepiphyte,,,,,2017,2018,Presence_only,1524,1515,18.7999992370605,Seasonal Forest,YES,
KERB_07402,KERB,E7402,FAZENDA RIO GRANDE,PARANA,PR,Brazil,ABUNDANCE,Mixed Ombrophilous Forest,-25.666271,-49.269229,Forest fragment,Fazenda Experimental Gralha Azul 2,Ferns,Polypodiaceae,Campyloneurum,austrobrasilianum,Campyloneurum austrobrasilianum,holoepiphyte,,,,,2015,2017,Abundance,910,1294,20.5,Ombrophilous Forest,YES,
MENE2_26850,MENE2,E3350,ANTONINA,PARANA,PR,Brazil,,,-25.4311,-48.7401,Coordinates given in the herbarium record,Sapitanduva,Angiosperms,Araceae,Anthurium,scandens,Anthurium scandens,holoepiphyte,,,,,,,Presence_only,86,2085,25.7999992370605,Ombrophilous Forest,YES,
MENE2_31162,MENE2,E7588,IBATEGUARA,ALAGOAS,AL,Brazil,,,-8.9725,-35.9394,Coordinates given in the herbarium record,"Grota do Varjao.,  arbutivo-arborea densa. Solo humoso. .",Angiosperms,Gesneriaceae,Drymonia,serrulata,Drymonia serrulata,holoepiphyte,,,,,,,Presence_only,457,1692,23.7000007629395,Seasonal Forest,YES,
ELFR_00039,ELFR,E0039,AREADO,MATO GROSSO DO SUL,MS,Brazil,,Forest Fragment,-21.34753611,-46.16904444,Sampled tree,P27,Angiosperms,Orchidaceae,Polystachya,concreta,Polystachya concreta,holoepiphyte,,,,,2015,2016,Abundance,905,1507,22.5,Seasonal Forest,YES,
KERB_03345,KERB,E3345,SAO JOAQUIM,SANTA CATARINA,SC,Brazil,ABUNDANCE,,-28.471217,-49.83173,Study site,Rio Pelotas,Ferns,Polypodiaceae,Microgramma,squamulosa,Microgramma squamulosa,holoepiphyte,,,,,2014,2014,Abundance,1132,1638,19.6000003814697,Ombrophilous Forest,YES,
CEBA_00653,CEBA,,IGUAZU,MISIONES,N,Argentina,PARODI 4354,,-25.5991,-54.5736,,Puerto Aguirre,Angiosperms,Bromeliaceae,Vriesea,friburgensis,Vriesea friburgensis,holoepiphyte,,,,,,,Presence_only,197,1731,26,,YES,24/01/1922
KERB_08335,KERB,E8335,GUARAPUAVA,PARANA,PR,Brazil,ABUNDANCE,Flooded Forest,-25.521863,-51.416667,Forest fragment,Rio Sao Jeronimo,Angiosperms,Orchidaceae,Bulbophyllum,regnellii,Bulbophyllum regnellii,holoepiphyte,Euphorbiaceae,Gymnanthes,klotzschiana,Gymnanthes klotzschiana,2003,2003,Abundance,984,1735,19.7000007629395,Savanna,YES,
MENE_01663,MENE,E1680,JUIZ DE FORA,MATO GROSSO DO SUL,MS,Brazil,,Urban Green Area,-21.7303,-43.3703,100,"Mata do Krambeck, Jardim Bot?nico da Universidade Federal de Juiz de Fora",Angiosperms,Bromeliaceae,Billbergia,horrida,Billbergia horrida,holoepiphyte,Rosaceae,Eriobotrya,japonica,Eriobotrya japonica,2013,2013,Presence_only,689,1519,23.2000007629395,Seasonal Forest,YES,
KERB_03897,KERB,E3897,SAO JOAQUIM,SANTA CATARINA,SC,Brazil,ABUNDANCE,,-28.482429,-49.832046,Study site,Rio Pelotas,Ferns,Polypodiaceae,Pecluma,pectinatiformis,Pecluma pectinatiformis,holoepiphyte,,,,,2014,2014,Abundance,1132,1635,19.7999992370605,Ombrophilous Forest,YES,
