scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Siphocampylus verticillatus,Campanulaceae,Siphocampylus verticillatus G.Don,Campanulaceae,Siphocampylus verticillatus,G. Don,flowering plants,Accepted,Campanulaceae,G. Don,-28.42,-50.02,1965-01-06,GBIF,US,US,US,Botany,3271,1
,PTERIDACEAE,Adiantum,Pteridaceae,Adiantum,L.,ferns and allies,Accepted,Pteridaceae,L.,-18.757778,-40.454167,2009-01-13,SpeciesLink,MBML,MBML,MBML,MBML-Herbario,125,1
Rhynchospora barbata,CYPERACEAE,Rhynchospora barbata (Vahl) Kunth,Cyperaceae,Rhynchospora barbata,(Vahl) Kunth,flowering plants,Accepted,Cyperaceae,(Vahl) Kunth,0.7333333,-51.3666667,1961-09-16,SpeciesLink,JBRJ,JBRJ,JBRJ,JBRJ_RB,249,1
,Fabaceae,Mimosa L.,Fabaceae,Mimosa,L.,flowering plants,Accepted,Fabaceae,L.,-11.070833,-40.670556,2017-06-20,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Coccocypselum cordifolium,Rubiaceae,Coccocypselum cordifolium Nees & Mart.,Rubiaceae,Coccocypselum cordifolium,Nees & Mart.,flowering plants,Accepted,Rubiaceae,Nees & Mart.,-10.8339,-52.8731,,GBIF,F,F,F,Botany,3567,1
,Melastomataceae,Melastomataceae,Melastomataceae,Melastomataceae,Juss.,flowering plants,Accepted,Melastomataceae,Juss.,-13.1905,-39.602722,2014-05-27,GBIF,UESB,UESB,UESB,HUESB,1632,1
,Fabaceae,Dioclea Kunth,Fabaceae,Dioclea,Kunth,flowering plants,Accepted,Fabaceae,Kunth,-25.6174,-48.4105,1997-04-10,GBIF,"Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR",EFC,1864,1
Pleopeltis macrocarpa,Polypodiaceae,Pleopeltis macrocarpa (Bory ex Willd.) Kaulf.,Polypodiaceae,Pleopeltis macrocarpa,(Bory ex Willd.) Kaulf.,ferns and allies,Accepted,Polypodiaceae,(Bory ex Willd.) Kaulf.,-28.510833,-50,2011-04-06,GBIF,"Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB",FURB,1646,1
Crepidospermum atlanticum,Burseraceae,Crepidospermum atlanticum D.C. Daly,Burseraceae,Crepidospermum atlanticum,Daly,flowering plants,Accepted,Burseraceae,Daly,-15.26472,-40.57472,1996-11-14,MO,MO,MO,MO,,280,1
Paepalanthus bromelioides,Eriocaulaceae,Paepalanthus bromelioides Silveira,Eriocaulaceae,Paepalanthus bromelioides,Silveira,flowering plants,Accepted,Eriocaulaceae,Silveira,-19.083056,-43.565833,2004-02-19,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
