database_id,verbatim_scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode,original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,year
BIEN_2,Tetrapterys crispa,-0.95,-49.8,1758,1987-11-04,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Tetrapterys crispa,NA,NA,accepted,GBIF:7285570,Tetrapterys crispa,species,accepted,GBIF:7285570,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Tetrapterys,crispa,NA,3191303,NA,A.Juss.,NA,1987
BIEN_5,Machaerium fulvovenosum,-20.848889,-41.1125,1307,2008-10-10,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Machaerium fulvovenosum,NA,NA,accepted,GBIF:5355056,Machaerium fulvovenosum,species,accepted,GBIF:5355056,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Machaerium,fulvovenosum,NA,2959589,NA,H.C.Lima,jacaranda tan,2008
BIEN_7,Byrsonima sericea,-15.181944,-45.769722,3012,1997-12-05,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Byrsonima sericea,NA,NA,accepted,GBIF:7285418,Byrsonima sericea,species,accepted,GBIF:7285418,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,sericea,NA,3191347,NA,DC.,NA,1997
BIEN_9,Cordia nodosa,-9.95,-57.1,2979,1985-09-30,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Cordia nodosa,NA,NA,accepted,GBIF:7295069,Cordia nodosa,species,accepted,GBIF:7295069,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,nodosa,NA,2900865,NA,Lam.,pau de formiga,1985
BIEN_11,Phoradendron crassifolium,-23.62028,-45.40972,104,1961-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phoradendron crassifolium,NA,NA,accepted,GBIF:7772421,Phoradendron crassifolium,species,accepted,GBIF:7772421,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Phoradendron,crassifolium,NA,2889864,4068428,Eichler (Pohl ex DC.),NA,1961
BIEN_12,Pagamea plicata,-10.605278,-46.285,3801,2007-09-21,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Pagamea plicata,NA,NA,accepted,GBIF:2902164,Pagamea plicata,species,accepted,GBIF:2902164,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Pagamea,plicata,NA,2902141,NA,Spruce ex Benth.,NA,2007
BIEN_15,Achyrocline alata,-20.448028,-52.906222,2258,2005-04-22,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Achyrocline alata,NA,NA,accepted,GBIF:3139547,Achyrocline alata,species,accepted,GBIF:3139547,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achyrocline,alata,NA,3139525,NA,DC. (Kunth),macela do brejo,2005
BIEN_18,Oldenlandia filicaulis,-14.266667,-42.526111,2756,2006-01-10,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Oldenlandia filicaulis,NA,NA,accepted,GBIF:2915856,Oldenlandia filicaulis,species,accepted,GBIF:2915856,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Oldenlandia,filicaulis,NA,2915706,NA,K.Schum.,NA,2006
BIEN_19,Bauhinia brevipes,-12.871667,-46.97,1928,2009-06-29,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Bauhinia brevipes,NA,NA,accepted,GBIF:2953099,Bauhinia brevipes,species,accepted,GBIF:2953099,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,brevipes,NA,2952935,NA,Vogel,NA,2009
BIEN_20,Paspalum guttatum,-11.688056,-47.7025,3120,2014-11-20,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,Paspalum guttatum,NA,NA,accepted,GBIF:4110078,Paspalum guttatum,species,accepted,GBIF:4110078,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,guttatum,NA,2705540,NA,Trin.,NA,2014
GBIF_4,Erythroxylum cuspidifolium Mart.,-13.936944,-39.424444,1944976406,2013-03-28T00:00:00Z,Brazil,Bahia,NA,"Fazenda Paineiras, BR 116, KM 390",NA,PRESERVED_SPECIMEN,Sem Informação,NA,T. Araújo,Brazil,BR,Erythroxylum cuspidifolium,NA,NA,accepted,GBIF:3694220,Erythroxylum cuspidifolium,species,accepted,GBIF:3694220,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Erythroxylaceae,Erythroxylum,cuspidifolium,NA,2873937,NA,Mart.,fruta de pomba,2013
GBIF_5,Ocotea lanceolata Nees,-13.48333,-41.81667,439130715,1977-02-24T00:00:00Z,Brazil,Bahia,NA,NA,NA,PRESERVED_SPECIMEN,NA,NA,"Harley, R.M.|Santos, T.S.|Pinheiro, R.S.|Mayo, S.J.|Storr, R.M.",Brazil,BR,Ocotea lanceolata,NA,NA,heterotypic synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977
GBIF_14,Hillia parasitica Jacq.,-13.07,-41.37,912236353,2002-02-15T00:00:00Z,Brazil,NA,NA,"Bahia, Mucage: Serra do Gobira. Mata do Grotao no alto do Gobira.",NA,PRESERVED_SPECIMEN,NA,NA,"Harley, R. M. et al.",Brazil,BR,Hillia parasitica,NA,NA,accepted,GBIF:5340010,Hillia parasitica,species,accepted,GBIF:5340010,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Hillia,parasitica,NA,2916438,NA,Jacq.,White Bell,2002
