original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Chresta pacourinoides,NA,NA,accepted,GBIF:8282348,Chresta pacourinoides,species,accepted,GBIF:8282348,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chresta,pacourinoides,NA,3142054,3145360,"Loeuille, Siniscalchi & Pirani (Mart. ex DC.)",NA
Chamaecrista incana,NA,NA,accepted,GBIF:2949514,Chamaecrista incana,species,accepted,GBIF:2949514,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,incana,NA,2949492,5351173,H.S.Irwin & Barneby (Vogel),NA
Tridax procumbens,NA,NA,accepted,GBIF:3149462,Tridax procumbens,species,accepted,GBIF:3149462,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tridax,procumbens,NA,3149429,NA,L.,Yerba de San Juan del monte
Peperomia tetraphylla,NA,NA,accepted,GBIF:3086448,Peperomia tetraphylla,species,accepted,GBIF:3086448,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,tetraphylla,NA,3086367,3086450,Hook. & Arn. (G.Forst.),dou ban lu
Oxalis psoraleoides insipida,NA,NA,accepted,GBIF:3628345,Oxalis psoraleoides insipida,subspecies,accepted,GBIF:3628345,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,psoraleoides,insipida,7678036,3626367,Lourteig (A.St.-Hil.),velame vultoso
Xyris mucujensis,NA,NA,accepted,GBIF:2693196,Xyris mucujensis,species,accepted,GBIF:2693196,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,mucujensis,NA,2692599,NA,Kral & L.B.Sm.,NA
Groenbladia,NA,NA,accepted,GBIF:2648401,Groenbladia,genus,accepted,GBIF:2648401,Plantae,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Groenbladia,NA,NA,8849,NA,"Teiling, 1952",Groenbladia
Byrsonima crispa,NA,NA,accepted,GBIF:3986307,Byrsonima crispa,species,accepted,GBIF:3986307,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,crispa,NA,3191347,NA,A.Juss.,murici
Paspalum multicaule,NA,NA,accepted,GBIF:4106884,Paspalum multicaule,species,accepted,GBIF:4106884,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,multicaule,NA,2705540,NA,Poir.,NA
Solanum megalochiton,NA,NA,accepted,GBIF:2932021,Solanum megalochiton,species,accepted,GBIF:2932021,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,megalochiton,NA,2928997,NA,Mart.,NA
Leiothrix curvifolia,NA,NA,accepted,GBIF:5286550,Leiothrix curvifolia,species,accepted,GBIF:5286550,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Leiothrix,curvifolia,NA,2691180,2691250,Ruhland (Bong.),NA
Chrysophyllum inornatum,NA,NA,accepted,GBIF:2885737,Chrysophyllum inornatum,species,accepted,GBIF:2885737,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Chrysophyllum,inornatum,NA,2885576,NA,Mart.,murta
Mimosa paludosa,NA,NA,accepted,GBIF:2969575,Mimosa paludosa,species,accepted,GBIF:2969575,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,paludosa,NA,2969235,NA,Benth.,NA
