database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode
BIEN_19,Bauhinia brevipes,-12.871667,-46.97,1928,2009-06-29,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR
BIEN_20,Paspalum guttatum,-11.688056,-47.7025,3120,2014-11-20,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_1,Miconia minutiflora (Bonpl.) DC.,-20.844999313354,-44.91609954834,NA,NA,Brazil,NA,NA,"Santo Antônio do Amparo, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_2,Zanthoxylum rhoifolium Lam.,-8.1581001281738,-35.753898620605,NA,NA,Brazil,NA,NA,"Bezerros, floresta semidecidual de brejo",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_3,Ocotea velutina (Nees) Rohwer,-21.132499694824,-44.709400177002,NA,NA,Brazil,NA,NA,"Ibituruna, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_4,Sweetia fruticosa Spreng.,-18.089000701904,-45.182998657227,NA,NA,Brazil,NA,NA,"Três Marias, floresta decidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_5,Bauhinia cheilantha (Bong.) Steud.,-15.003100395203,-43.900299072266,NA,NA,Brazil,NA,NA,"Matias Cardoso, Cajueiro, caatinga arbórea",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_6,Senna pendula (Willd.) H.S.Irwin & Barneby,-21.568899154663,-50.739700317383,NA,NA,Brazil,NA,NA,"Salmourão, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_7,Cecropia hololeuca Miq.,-17.83219909668,-40.280799865723,NA,NA,Brazil,NA,NA,"Nanuque, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_8,Cordia glabrata (Mart.) A.DC.,-14.982199668884,-43.52140045166,NA,NA,Brazil,NA,NA,"Matias Cardoso, Gado Bravo, caatinga arbórea",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_9,Cynophalla flexuosa (L.) J.Presl,-22.783100128174,-53.530300140381,NA,NA,Brazil,NA,NA,"Anaurilândia, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_10,Manihot caerulescens Pohl,-10.185799598694,-40.259201049805,NA,NA,Brazil,NA,NA,"Jaguarari, floresta areno-rupícola",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_11,Vitex polygama Cham.,-14.285300254822,-44.111099243164,NA,NA,Brazil,NA,NA,"Juvenília, caatinga arbórea",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_12,Trichilia pallens C.DC.,-22.807500839233,-51.379199981689,NA,NA,Brazil,NA,NA,"Primeiro de Maio, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_13,Myrcia tomentosa (Aubl.) DC.,-11.218299865723,-45.402801513672,NA,NA,Brazil,NA,NA,"Formosa do Rio Preto, caatinga arbórea",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_14,Zanthoxylum riedelianum Engl.,-18.879400253296,-41.479698181152,NA,NA,Brazil,NA,NA,"São Geraldo do Baixio, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_15,Handroanthus serratifolius (Vahl) S.O.Grose,-17.93390083313,-44.568298339844,NA,NA,Brazil,NA,NA,"Lassance, floresta ripícola",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_16,Croton floribundus Spreng.,-22.500799179077,-46.642799377441,NA,NA,Brazil,NA,NA,"Lindóia, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_17,Protium spruceanum (Benth.) Engl.,-21.155300140381,-45.472801208496,NA,NA,Brazil,NA,NA,"Coqueiral, floresta semidecidual",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_18,Cestrum schlechtendalii G.Don,-14.148300170898,-47.531898498535,NA,NA,Brazil,NA,NA,"Ipameri, cerrado",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_19,Salvertia convallariodora A.St.-Hil.,-5.3179998397827,-41.51900100708,NA,NA,Brazil,NA,NA,"Castelo do Piaui, cerradao mesotrofico",NA,NA,NA,NA,NA,Brazil,BR
DRYFLOR_20,Machaerium villosum Vogel,-15.964200019836,-47.94580078125,NA,NA,Brazil,NA,NA,"Fazenda Água Limpa, floresta ripícola",NA,NA,NA,NA,NA,Brazil,BR
GBIF_1,Iryanthera sagotiana Warb.,-10.8339,-52.8731,1228373235,NA,Brazil,NA,NA,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,Brazil,BR
GBIF_4,Erythroxylum cuspidifolium Mart.,-13.936944,-39.424444,1944976406,2013-03-28T00:00:00Z,Brazil,Bahia,NA,"Fazenda Paineiras, BR 116, KM 390",NA,PRESERVED_SPECIMEN,Sem Informação,NA,T. Araújo,Brazil,BR
GBIF_5,Ocotea lanceolata Nees,-13.48333,-41.81667,439130715,1977-02-24T00:00:00Z,Brazil,Bahia,NA,NA,NA,PRESERVED_SPECIMEN,NA,NA,"Harley, R.M.|Santos, T.S.|Pinheiro, R.S.|Mayo, S.J.|Storr, R.M.",Brazil,BR
GBIF_9,Croton nepetifolius Baill.,-8.507242,-37.355059,1302836168,NA,Brazil,NA,NA,catimbau,NA,HUMAN_OBSERVATION,NA,NA,NA,Brazil,BR
GBIF_11,Dalechampia stipulacea Müll.Arg.,-23.0297,-46.9753,1090557438,1994-11-23T00:00:00Z,Brazil,São Paulo,NA,NA,NA,PRESERVED_SPECIMEN,R.A. Pereira-Silva,NA,S.L. Jung-Mendaçolli; C.A.F. Pinto-Maglio; P.R.P. Andrade & A.M.C. Silva,Brazil,BR
GBIF_14,Hillia parasitica Jacq.,-13.07,-41.37,912236353,2002-02-15T00:00:00Z,Brazil,NA,NA,"Bahia, Mucage: Serra do Gobira. Mata do Grotao no alto do Gobira.",NA,PRESERVED_SPECIMEN,NA,NA,"Harley, R. M. et al.",Brazil,BR
GBIF_16,"Chresta pacourinoides (Mart. ex DC.) Loeuille, Siniscalchi & Pirani",-5.640583,-42.608306,1090954960,2000-05-16T00:00:00Z,Brazil,Piauí,NA,Fazenda Saquinho,NA,PRESERVED_SPECIMEN,B. Leonille,NA,R. Barros; R.R. Farias,Brazil,BR
ICMBIO_1,Chamaecrista incana (Vogel) H.S.Irwin & Barneby,-25.3830556,-51.5111111,RB01034852,10/12/2013,Brasil,Paraná,Guarapuava,"Rodovia BR-277, Campo em frente a concessionária Valtra-Shark.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_2,Tridax procumbens L.,-12.2630556,-38.0416666,RB01357838,09/03/2016,Brasil,Bahia,Itanagra,Conglomerado BA__E-1-1-HE,NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_3,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,-20.9386111,-41.5444444,RB00821048,08/08/2013,Brasil,Espírito Santo,Mimoso do Sul,"Córrego do Jardim. Floresta de Pseudobombax, Nyctaginaceae, bromélias e aráceas, com tapete de musgos, sobre afloramento rochoso.",NA,NA,NA,NA,NA,Brazil,BR
