original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Trichilia lepidota,NA,NA,accepted,GBIF:7271255,Trichilia lepidota,species,accepted,GBIF:7271255,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Trichilia,lepidota,NA,3190490,NA,Mart.,NA
Aniba intermedia,NA,NA,accepted,GBIF:4181117,Aniba intermedia,species,accepted,GBIF:4181117,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aniba,intermedia,NA,3034086,4179008,Mez (Meisn.),NA
Cordia americana,NA,NA,accepted,GBIF:5660277,Cordia americana,species,accepted,GBIF:5660277,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,americana,NA,2900865,7295134,Gottschling & J.S.Mill. (L.),guayaibi blanco
Erythroxylum anguifugum,NA,NA,accepted,GBIF:7284817,Erythroxylum anguifugum,species,accepted,GBIF:7284817,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Erythroxylaceae,Erythroxylum,anguifugum,NA,2873937,NA,C.Mart.,fruta de pomba
Inga laurina,NA,NA,accepted,GBIF:5358039,Inga laurina,species,accepted,GBIF:5358039,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Inga,laurina,NA,2965936,2966514,Willd. (Sw.),Spanish Oak
Kielmeyera coriacea,NA,NA,accepted,GBIF:7330272,Kielmeyera coriacea,species,accepted,GBIF:7330272,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Calophyllaceae,Kielmeyera,coriacea,NA,7330103,NA,Mart.,pau santo
Blepharocalyx salicifolius,NA,NA,accepted,GBIF:3187875,Blepharocalyx salicifolius,species,accepted,GBIF:3187875,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Blepharocalyx,salicifolius,NA,3187870,3187600,O.Berg (Kunth),murta
Sambucus australis,NA,NA,accepted,GBIF:3857366,Sambucus australis,species,accepted,GBIF:3857366,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,australis,NA,2888721,NA,Cham. & Schltdl.,southern elder
Bauhinia rufa,NA,NA,accepted,GBIF:2953546,Bauhinia rufa,species,accepted,GBIF:2953546,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,rufa,NA,2952935,2953548,Steud. (Bong.),NA
Trichilia catigua,NA,NA,accepted,GBIF:7271401,Trichilia catigua,species,accepted,GBIF:7271401,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Trichilia,catigua,NA,3190490,NA,A.Juss.,mangalto catinga
Ilex lundii,NA,NA,accepted,GBIF:7315893,Ilex lundii,species,accepted,GBIF:7315893,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,lundii,NA,10792217,NA,Warm.,NA
Myrsine umbellata,NA,NA,accepted,GBIF:7422518,Myrsine umbellata,species,accepted,GBIF:7422518,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Myrsine,umbellata,NA,3169412,NA,Mart.,NA
Acanthocladus santosii,NA,NA,accepted,GBIF:8228215,Acanthocladus santosii,species,accepted,GBIF:8228215,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Acanthocladus,santosii,NA,7293501,4049388,J.F.B.Pastore & D.B.O.S.Cardoso (Wurdack),NA
