original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Inulopsis,NA,NA,accepted,GBIF:3089988,inulopsis,genus,accepted,GBIF:3089988,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Inulopsis,NA,NA,3065,NA,O.Hoffm.,NA
Casearia sylvestris,NA,NA,accepted,GBIF:5331148,casearia sylvestris,species,accepted,GBIF:5331148,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Casearia,sylvestris,NA,2874105,NA,Sw.,wild sage
Adiantum,NA,NA,accepted,GBIF:2650796,adiantum,genus,accepted,GBIF:2650796,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,NA,NA,2367,NA,L.,venushar
Cassia moschata,NA,NA,accepted,GBIF:5357122,cassia moschata,species,accepted,GBIF:5357122,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cassia,moschata,NA,2963414,NA,Kunth,casia amarilla
Nymphoides indica,NA,NA,accepted,GBIF:5341503,nymphoides indica,species,accepted,GBIF:5341503,Plantae,Tracheophyta,Magnoliopsida,Asterales,Menyanthaceae,Nymphoides,indica,NA,7785713,NA,Kuntze (L.),印度莕菜
Apodanthera laciniosa,NA,NA,accepted,GBIF:3625498,apodanthera laciniosa,species,accepted,GBIF:3625498,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Apodanthera,laciniosa,NA,2874608,5536889,Cogn. (Schltdl.),NA
Diospyros,NA,NA,accepted,GBIF:3030169,diospyros,genus,accepted,GBIF:3030169,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,NA,NA,6709,NA,L.,감나무속
Fabaceae,NA,NA,accepted,GBIF:5386,fabaceae,family,accepted,GBIF:5386,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,NA,NA,NA,1370,NA,NA,マメ科
Brunfelsia obovata,NA,NA,accepted,GBIF:7299642,brunfelsia obovata,species,accepted,GBIF:7299642,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Brunfelsia,obovata,NA,2932910,NA,Benth.,NA
Psychotria pubigera,NA,NA,homotypic synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
