Test,Records_flagged,Records_flagged_percentage
.missing_name,96914,3.086
.missing_xy,80609,19.391
.invalid_xy,80331,19.669
.xy_provenance,99962,0.0380000000000109
.xy_out_country,73497,26.503
.summary,70891,29.109
