sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,input,notes,original.search,distance
16113,GBIF:7316225,Hydrolea spinosa spinosa,variety,accepted,GBIF:7316225,Plantae,Tracheophyta,Magnoliopsida,Solanales,Hydroleaceae,Hydrolea,spinosa,spinosa,2928286,,,Carqueja-do-pântano,Hydrolea spinosa spinosa,|check +1 accepted,Hydrolea spinosa spinosa,0
16426,GBIF:2721247,Rhynchospora pubera parvula,subspecies,accepted,GBIF:2721247,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Rhynchospora,pubera,parvula,2721237,,W.W.Thomas,,Rhynchospora pubera parvula,|check +1 accepted,Rhynchospora pubera parvula,0
16451,GBIF:7289524,Ananas comosus comosus,form,accepted,GBIF:7289524,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Ananas,comosus,comosus,5288819,,,,Ananas comosus comosus,|check +1 accepted,Ananas comosus comosus,0
16541,GBIF:7355846,Tryonia myriophylla,species,accepted,GBIF:7355846,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Tryonia,myriophylla,,7779718,,"Schuettp., J.Prado & A.T.Cochran (Sw.)",,Tryonia myriophylla,|check +1 accepted,Tryonia myriophylla,0
16575,GBIF:2683915,Cryptomeria,genus,accepted,GBIF:2683915,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cryptomeria,,,8144,,D.Don,kryptomerior,Cryptomeria,|check +1 accepted,Cryptomeria,0
16778,GBIF:2960604,Ormosia nobilis,species,accepted,GBIF:2960604,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ormosia,nobilis,,2960439,,Tul.,,Ormosia nobilis,|check +1 accepted,Ormosia nobilis,0
17512,GBIF:3173680,Plinia,genus,accepted,GBIF:3173680,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Plinia,,,5014,,L.,,Plinia,|check +1 accepted,Plinia,0
17543,GBIF:6430743,Evolvulus sericeus sericeus,variety,accepted,GBIF:6430743,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Evolvulus,sericeus,sericeus,2928672,,,silver dwarf-morning-glory,Evolvulus sericeus sericeus,|check +1 accepted,Evolvulus sericeus sericeus,0
17543,GBIF:7324527,Evolvulus sericeus sericeus,form,accepted,GBIF:7324527,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Evolvulus,sericeus,sericeus,2928672,,,,Evolvulus sericeus sericeus,|check +1 accepted,Evolvulus sericeus sericeus,0
17685,GBIF:3082281,Plumbago,genus,accepted,GBIF:3082281,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Plumbago,,,2419,,L.,leadwort,Plumbago,|check +1 accepted,Plumbago,0
17932,GBIF:3172224,Buchnera,genus,accepted,GBIF:3172224,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Buchnera,,,6651,,L.,bluehearts,Buchnera,|check +1 accepted,Buchnera,0
17970,GBIF:3794748,Mimosa albolanata brasiliana,variety,accepted,GBIF:3794748,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,albolanata,brasiliana,2969808,,Barneby,,Mimosa albolanata brasiliana,|check +1 accepted,Mimosa albolanata brasiliana,0
18013,GBIF:7224641,Mimosa bimucronata bimucronata,variety,accepted,GBIF:7224641,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,bimucronata,bimucronata,9217666,,,maricá,Mimosa bimucronata bimucronata,|check +1 accepted,Mimosa bimucronata bimucronata,0
18169,GBIF:2954266,Pterogyne,genus,accepted,GBIF:2954266,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pterogyne,,,5386,,Tul.,,Pterogyne,|check +1 accepted,Pterogyne,0
18211,GBIF:9070126,Polygala harleyi intermedia,subspecies,accepted,GBIF:9070126,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,harleyi,intermedia,7293579,,M.C.Marques,,Polygala harleyi intermedia,|check +1 accepted,Polygala harleyi intermedia,0
18231,GBIF:2702742,Chloris,genus,accepted,GBIF:2702742,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chloris,,,3073,,Sw.,windmillgrass spp.,Chloris,|check +1 accepted,Chloris,0
18267,GBIF:2645003,Trentepohlia,genus,accepted,GBIF:2645003,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohliaceae,Trentepohlia,,,7559,,Mart.,rödfärgsalger,Trentepohlia,|check +1 accepted,Trentepohlia,0
18312,GBIF:9031274,Doliocarpus amazonicus duckeanus,variety,accepted,GBIF:9031274,Plantae,Tracheophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Doliocarpus,amazonicus,duckeanus,7303991,,,,Doliocarpus amazonicus duckeanus,|check +1 accepted,Doliocarpus amazonicus duckeanus,0
18408,GBIF:8981956,Turnera sidoides holosericea,variety,accepted,GBIF:8981956,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Turneraceae,Turnera,sidoides,holosericea,7303703,,Arbo,,Turnera sidoides holosericea,|check +1 accepted,Turnera sidoides holosericea,0
18435,GBIF:2830038,Habenaria nuda pygmaea,variety,accepted,GBIF:2830038,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Habenaria,nuda,pygmaea,2828573,,Hoehne,,Habenaria nuda pygmaea,|check +1 accepted,Habenaria nuda pygmaea,0
18476,GBIF:2688639,Riccia,genus,accepted,GBIF:2688639,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Ricciaceae,Riccia,,,2259,,L.,rosettmossor,Riccia,|check +1 accepted,Riccia,0
18555,GBIF:8836115,Mimosa claussenii prorsiseta,subspecies,accepted,GBIF:8836115,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,claussenii,prorsiseta,2969629,,Barneby,,Mimosa claussenii prorsiseta,|check +1 accepted,Mimosa claussenii prorsiseta,0
18566,GBIF:3074966,Astraea,genus,accepted,GBIF:3074966,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Astraea,,,4691,,Klotzsch,,Astraea,|check +1 accepted,Astraea,0
18676,GBIF:3172939,Nelsonia,genus,accepted,GBIF:3172939,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,,,2393,,R.Br.,,Nelsonia,|check +1 accepted,Nelsonia,0
18713,GBIF:3152218,Ceiba,genus,accepted,GBIF:3152218,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Ceiba,,,6685,,Mill.,,Ceiba,|check +1 accepted,Ceiba,0
18729,GBIF:8945159,Mimosa debilis debilis,subspecies,accepted,GBIF:8945159,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,debilis,debilis,2969392,,,,Mimosa debilis debilis,|check +1 accepted,Mimosa debilis debilis,0
18744,GBIF:3104583,Perezia,genus,accepted,GBIF:3104583,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Perezia,,,3065,,Lag.,,Perezia,|check +1 accepted,Perezia,0
18750,GBIF:9015604,Coussarea nodosa umbellaris,subspecies,accepted,GBIF:9015604,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coussarea,nodosa,umbellaris,2904788,,M.Gomes,,Coussarea nodosa umbellaris,|check +1 accepted,Coussarea nodosa umbellaris,0
18783,GBIF:5339879,Morinda citrifolia,species,accepted,GBIF:5339879,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Morinda,citrifolia,,2915429,,L.,檄樹;黃木巴戟,Morinda citrifolia,|check +1 accepted,Morinda citrifolia,0
18792,GBIF:2673641,Pohlia,genus,accepted,GBIF:2673641,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Pohlia,,,8736,,Hedw.,pohlia moss,Pohlia,|check +1 accepted,Pohlia,0
19077,GBIF:7288330,Qualea cordata cordata,variety,accepted,GBIF:7288330,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Vochysiaceae,Qualea,cordata,cordata,7288327,,,,Qualea cordata cordata,|check +1 accepted,Qualea cordata cordata,0
19289,GBIF:3039287,Condalia,genus,accepted,GBIF:3039287,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Condalia,,,2407,,Cav.,snakewood,Condalia,|check +1 accepted,Condalia,0
19317,GBIF:3233962,Scleronema,genus,accepted,GBIF:3233962,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Scleronema,,,6685,,Benth.,,Scleronema,|check +1 accepted,Scleronema,0
19393,GBIF:8832018,Banisteriopsis malifolia appressa,subspecies,accepted,GBIF:8832018,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Banisteriopsis,malifolia,appressa,7285536,,B.Gates,,Banisteriopsis malifolia appressa,|check +1 accepted,Banisteriopsis malifolia appressa,0
19550,GBIF:8966121,Senecio pulcher pulcher,subspecies,accepted,GBIF:8966121,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,pulcher,pulcher,3109000,,,,Senecio pulcher pulcher,|check +1 accepted,Senecio pulcher pulcher,0
19712,GBIF:10585474,Trichospira verticillata,species,accepted,GBIF:10585474,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Trichospira,verticillata,,3087525,,S.F.Blake,,Trichospira verticillata,|check +1 accepted,Trichospira verticillata,0
19979,GBIF:9117896,Turnera bahiensis bahiensis,subspecies,accepted,GBIF:9117896,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Turneraceae,Turnera,bahiensis,bahiensis,7303718,,,,Turnera bahiensis bahiensis,|check +1 accepted,Turnera bahiensis bahiensis,0
20014,GBIF:8867527,Hymenaea stigonocarpa stigonocarpa,subspecies,accepted,GBIF:8867527,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Hymenaea,stigonocarpa,stigonocarpa,2950722,,,,Hymenaea stigonocarpa stigonocarpa,|check +1 accepted,Hymenaea stigonocarpa stigonocarpa,0
20097,GBIF:9131907,Peperomia decora pilosa,subspecies,accepted,GBIF:9131907,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,decora,pilosa,7305847,,Yunck.,,Peperomia decora pilosa,|check +1 accepted,Peperomia decora pilosa,0
20106,GBIF:8364970,Rubus rosifolius rosifolius,subspecies,accepted,GBIF:8364970,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,rosifolius,rosifolius,8234521,,,,Rubus rosifolius rosifolius,|check +1 accepted,Rubus rosifolius rosifolius,0
20222,GBIF:3153974,Drimys,genus,accepted,GBIF:3153974,Plantae,Tracheophyta,Magnoliopsida,Canellales,Winteraceae,Drimys,,,2437,,J.R.Forst. & G.Forst.,,Drimys,|check +1 accepted,Drimys,0
20419,GBIF:2949236,Aeschynomene americana glandulosa,variety,accepted,GBIF:2949236,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,americana,glandulosa,2949235,2949238,Rudd (Poir.),,Aeschynomene americana glandulosa,|check +1 accepted,Aeschynomene americana glandulosa,0
20503,GBIF:9115074,Mimosa claussenii corneiseta,subspecies,accepted,GBIF:9115074,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,claussenii,corneiseta,2969629,,Barneby,,Mimosa claussenii corneiseta,|check +1 accepted,Mimosa claussenii corneiseta,0
20666,GBIF:3234444,Maripa,genus,accepted,GBIF:3234444,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Maripa,,,2389,,Aubl.,,Maripa,|check +1 accepted,Maripa,0
20813,GBIF:2960676,Diplotropis,genus,accepted,GBIF:2960676,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Diplotropis,,,5386,,Benth.,,Diplotropis,|check +1 accepted,Diplotropis,0
20877,GBIF:7266230,Mimosa pseudoradula pseudoradula,variety,accepted,GBIF:7266230,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,pseudoradula,pseudoradula,7266229,,,,Mimosa pseudoradula pseudoradula,|check +1 accepted,Mimosa pseudoradula pseudoradula,0
20905,GBIF:2650312,Alsophila,genus,accepted,GBIF:2650312,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Alsophila,,,6624,,R.Br.,,Alsophila,|check +1 accepted,Alsophila,0
20970,GBIF:7226067,Passiflora foetida foetida,variety,accepted,GBIF:7226067,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,foetida,foetida,2874211,,,fetid passionflower,Passiflora foetida foetida,|check +1 accepted,Passiflora foetida foetida,0
20970,GBIF:7313418,Passiflora foetida foetida,subspecies,accepted,GBIF:7313418,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,foetida,foetida,2874211,,,,Passiflora foetida foetida,|check +1 accepted,Passiflora foetida foetida,0
20994,GBIF:7326816,Sauvagesia erecta erecta,subspecies,accepted,GBIF:7326816,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Ochnaceae,Sauvagesia,erecta,erecta,5421109,,,,Sauvagesia erecta erecta,|check +1 accepted,Sauvagesia erecta erecta,0
21120,GBIF:2713527,Cyperus rigens rigens,subspecies,accepted,GBIF:2713527,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,rigens,rigens,2713519,,,,Cyperus rigens rigens,|check +1 accepted,Cyperus rigens rigens,0
21154,GBIF:7837959,Tryonia areniticola,species,accepted,GBIF:7837959,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Tryonia,areniticola,,7779718,3749504,"Schuettp., J.Prado & A.T.Cochran (Schwartsb. & Labiak)",,Tryonia areniticola,|check +1 accepted,Tryonia areniticola,0
