datelastmodified,institutioncode,collectioncode,catalognumber,scientificname,basisofrecord,kingdom,phylum,class,ordem,family,genus,species,subspecies,scientificnameauthor,identifiedby,yearidentified,monthidentified,dayidentified,typestatus,collectornumber,fieldnumber,collector,yearcollected,monthcollected,daycollected,julianday,timeofday,continentocean,country,stateprovince,county,locality,longitude,latitude,longitude_mun,latitude_mun,coordinateprecision,boundingbox,minimumelevation,maximumelevation,minimumdepth,maximumdepth,sex,preparationtype,individualcount,previouscatalognumber,relationshiptype,relatedcatalogitem,notes,barcode
2019-07-11T11:48:48Z,ESALQ,ESA,141400,Axonopus compressus,S,Plantae,NA,NA,NA,Poaceae,Axonopus,compressus,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klein, R.",NA,NA,NA,NA,NA,NA,Brasil,Santa Catarina,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-21T13:08:21Z,IBt,SP,471874,Byrsonima guilleminiana,S,Plantae,NA,NA,NA,Malpighiaceae,Byrsonima,guilleminiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rua, GH",NA,NA,NA,NA,NA,NA,Brasil,Distrito Federal,NA,"Área da Fercal, estrada de chão para io Córrego d'Ouro entrando no km 8,8 da BR-205 L, Assentamento Contagem, pouco antes da entrada para a Chácara Seis Irmãos, ca. 1800 m da BR ao L da estrada",-47.834167,-15.518611,NA,NA,NA,NA,819,819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-08T13:41:06Z,NBC,NL-BOTANY,NA,Alsophila atrovirens,PreservedSpecimen,Plantae,NA,Pteropsida,Cyatheales,Cyatheaceae,Alsophila,atrovirens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martius CFP von,NA,NA,NA,NA,NA,NA,Brazil,NA,NA,S. Paulo.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""<a href=\""https://data.biodiversitydata.nl/naturalis/specimen/L.1285139\"" target=\""other\"" class=\""eLink\""> <mi>dwc_moreinfo</mi></a>""",NA
2020-09-12T08:00:02Z,US,US,2320796,Terminalia catappa,PreservedSpecimen,Plantae,NA,Dicotyledonae,Myrtales,Combretaceae,Terminalia,catappa,NA,NA,NA,NA,NA,NA,NA,NA,NA,G. Hatschbach,NA,NA,NA,NA,NA,NA,Brazil,Paraná,NA,Matinhos.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2020-09-12T08:00:02Z,US,US,937195,Eriocaulon ligulatum,PreservedSpecimen,Plantae,NA,Monocotyledonae,Eriocaulales,Eriocaulaceae,Eriocaulon,ligulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,Widgren,NA,TRUE,NA,NA,NA,NA,Brazil,Minas Gerais,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2019-08-05T23:17:15Z,INPA,INPA,235843,Macrolobium,S,Plantae,NA,NA,Fabales,Leguminosae-Caes,Macrolobium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zappi, DC",NA,NA,NA,NA,NA,NA,Brasil,Amazonas,NA,"Igarapé Atucurá, Campinarana usada para coleta de castanha",-61.79121,-1.306088,NA,NA,NA,NA,34,34,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore 25 cm diâm. na base, 6 m alt., casca fina, descamante, acinzentada, casca internamente avermelhada, flores vináceas com pétala alva, anteras amarelas; Campinarana com ilhas de vegetação e predomínio de Ouratea e Melastomatacea",NA
2020-01-07T13:56:42Z,UFSCar,SPSC,5047,Pterodon emarginatus,PreservedSpecimen,Plantae,NA,NA,NA,Fabaceae,Pterodon,emarginatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.H. Toppa,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,NA,Fazenda Umuarama.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerradão,NA
2020-03-13T14:28:50Z,UFRPE,HST,9142,Rhaphiodon echinus,PreservedSpecimen,Plantae,NA,NA,NA,Lamiaceae,Rhaphiodon,echinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,A.M.Miranda; et D.Lima,NA,NA,NA,NA,NA,NA,Brasil,Ceará,NA,Floresta Nacional do Araripe,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prostrada; caule verde, anguloso; folhas membranáceas; flores roxo intenso.",NA
1970-01-01T03:00:00Z,NY,NYBG,2108849,Xyris fallax,PreservedSpecimen,Plantae,NA,NA,Poales,Xyridaceae,Xyris,fallax,NA,NA,NA,NA,NA,NA,NA,NA,NA,G. T. Prance,NA,NA,NA,NA,NA,NA,Brazil,Pará,NA,"Serra do Cachimbo, BR 163, Cuiabá-Santarém Highway, Cachoeira de Curuá; north slope of Serra Cachimbo.",-54.9644,-8.7367,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-06T15:00:33Z,UFU,HUFU,19309,Tibouchina gracilis,S,Plantae,NA,NA,NA,Melastomataceae,Tibouchina,gracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teixeira, E.M.; Brina, A.E.",NA,NA,NA,NA,NA,NA,Brasil,Minas Gerais,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Campo de murundus (cerrado).,NA
