Record ID,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Institution Code,Collection Code,Locality,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Year,Month,Basis Of Record,Basis Of Record - original,Occurrence status,Sex,Taxonomic Quality,Location Quality,Collector,identified _ by,identified _ date,Record number,raw _ sampling _ protocol,event _ id,Occurrence status assumed to be present,Coordinates are out of range for species,Coordinates dont match supplied country,Country inferred from coordinates,Day and month transposed,Coordinates derived from verbatim coordinates,First of the century,First of the month,First of the year,Geodetic datum assumed WGS84,Identification date before occurrence date,Incomplete collection date,Invalid collection date,Invalid scientific name,Coordinates are transposed,Min and max altitude reversed,Name not in national checklists,Latitude is negated,Longitude is negated,Collector name unparseable,Supplied country not recognised,Type status not recognised,Supplied coordinates are zero,Zero latitude,Zero longitude,Name not recognised,Collection code not recognised,Institution code not recognised,Coordinate uncertainty not valid,Kingdom not recognised,Georeferenced after occurrence date,Unrecognized geodetic datum,Depth value non-numeric,Precision / range mismatch,Basis of record badly formed,Coordinate precision and uncertainty transposed
e7e651dc-2fca-463e-8878-21cbf9b827d8,dr308,Base de dados do Herbário da UCS,in89,Universidade de Caxias do Sul,co166,Herbário da Universidade de Caxias do Sul,CC-BY-NC 4.0 (Int),01425,282906,Lantana camara,NA,Lantana camara,species,Camara,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Lantana,Lantana camara,UCS,HUCS,Mato Perso,NA,NA,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,NA,NA,1986,03,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Wasum, R.A.; et alii","Smith, S. .F.",1986-06-01,s.n.,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
35984e0e-3741-45f9-a576-932672686619,dr265,Observações de espécies publicadas no iNaturalist para o Brasil,NA,NA,NA,NA,CC0,NA,395631,Angiospermae,angiosperma,Tracheophyta,phylum,NA,Plantae,Tracheophyta,NA,NA,NA,NA,NA,NA,NA,"Utinga, Belém, Belém, BR-PA, BR",-1.4246127482,-48.4402718407,NA,-1.4246127482,-48.4402718407,NA,NA,NA,NA,NA,NA,NA,NA,2018,06,HumanObservation,HumanObservation,present,NA,TRUE,TRUE,rileypollom,NA,NA,7651,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
c74b8e4d-5ce1-47c7-b4bf-b9cbf3134992,dr224,CNCFlora - Livro Vermelho 2013 - Ocorrências,NA,NA,NA,NA,CC0,NYBG459556,291536,Stryphnodendron adstringens,NA,Stryphnodendron adstringens,species,Barba-de-timão,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Stryphnodendron,Stryphnodendron adstringens,CNCFlora,NYBG,Ca. 7km S of main plaza of Sao Jose dos Campos along road to Paraibuna. (6.5km S and 2.0km E of plaza),-23.17,-45.88,NA,-23.17,-45.88,NA,Brazil,NA,NA,NA,NA,NA,NA,1961,10,NA,Occurrence,present,NA,TRUE,TRUE,G. Eiten,E. Forero,NA,3348,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA
23b5becf-f040-4219-a46a-38928cd94452,dr489,Base de dados do Herbário da UFG,in18,Universidade Federal do Goiás,co23,Herbário UFG,CC-BY-NC,23819,295874,Alibertia edulis,NA,Alibertia edulis,species,Apuruí,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Alibertia,Alibertia edulis,UFG,HUFG,NA,NA,NA,NA,NA,NA,NA,Brasil,NA,0,0,NA,NA,NA,1998,08,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"""Delprete, P.G.; et al.""",NA,NA,6532,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
b5b1e443-cd58-4c06-8f90-43b434bbeabb,dr232,Amostras brasileiras new york,NA,NA,NA,NA,CC-BY-NC,NY02176212,364344,Ericaceae Gaylussacia riedelii Meisn.,NA,Ericaceae,family,Angiospermas,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,NA,NA,NY,NY,"Summit of Serra do Cipo, Km. 112-128 on road from Hotel Chapeu do Sol.",NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1960,08,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,B. Maguire;,J. W. Floyd,NA,49063,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48d762ca-1fb0-4702-8cb8-cbd141f4e0c8,dr216,Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection,in5,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,co125,Herbário RB,CC-BY 4.0 (Int),RB00404155,312664,Lessingianthus argenteus (Less.) H.Rob.,NA,Lessingianthus argenteus,species,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lessingianthus,Lessingianthus argenteus,JBRJ,RB,NA,NA,NA,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,NA,NA,1945,03,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,Jacintha Iglesias de Lima,"J.N. Nakajima,R. Borges & M.M. Saavedra",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9974882-3391-4457-a752-aac2c2fb8caf,dr480,Base de dados de Bryophyta do Herbário R do Museu Nacional,in1,Museu Nacional do Rio de Janeiro,co175,Herbário R do MNRJ,CC-BY-NC,80440,362630,Rhabdoweisia fugax,NA,Rhabdoweisia fugax,species,NA,Plantae,Bryophyta,Bryopsida,Dicranales,Rhabdoweisiaceae,Rhabdoweisia,Rhabdoweisia fugax,MNRJ,R-BRYOPHYTA,Unterharz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Rômer, C.",NA,NA,s.n.,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
54e40d2c-07a2-4d67-9925-86ad9760cbe3,dr475,Base de dados do Herbário do IBGE,in118,Instituto Brasileiro de Geografia e Estatística,co244,Herbário IBGE,CC-BY,IBGE00077990,364359,FABACEAE Cenostigma macrophyllum Tul.,NA,Fabaceae,family,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,NA,NA,IBGE,Herbário do IBGE,Bacia do Tocantins. Folha Cartográfica SC-22-Z-B Coordenada Coletada.,-10.1900000,-48.6600000,NA,-10.19,-48.66,NA,NA,NA,NA,NA,NA,NA,NA,2008,11,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,TRUE,"Fagg, CW; Oliveira, FCA","Souza, VC",2015-12-16,1880,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
6ea8355a-a7c5-4e33-adc8-5e53e5df2d67,dr286,"Base de dados do Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo""",in72,Instituto de Botânica de São Paulo,co156,Herbário Maria Eneyda P. Kaufmann Fidalgo,CC-BY-NC,44871,335946,Heteropterys intermedia,NA,Heteropterys intermedia,species,NA,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Heteropterys,Heteropterys intermedia,"Instituto de Botânica, IBT",SP,Chácara dos Morrinhos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940,12,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Pickel, B","Amorim, AM; Mamede, MCH",2001-03-13,5116,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
c9af804f-a6f3-4d32-bc71-b0072eb107d1,dr232,Amostras brasileiras new york,NA,NA,NA,NA,CC-BY-NC,NY00622440,364315,Cyperaceae Cyperus consors C.B.Clarke,NA,Cyperaceae,family,Foins coupants,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,NA,NA,NY,NY,4 km ao N de Rio de Contas.,-135.300.000.000.000.000,-41.769.999.999.999.900,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1979,07,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,S. A. Mori;,G. C. Tucker,1991-01-01,12386,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
