DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
FUME_04039,FUME,E4058,LIMA DUARTE,MATO GROSSO DO SUL,MS,Brazil,NA,Cloud Forest,-21.70193,-43.87246,100,"Parque Estadual do Ibitipoca, Gruta do Piao",Ferns,Hymenophyllaceae,Hymenophyllum,polyanthos,Hymenophyllum polyanthos,holoepiphyte,Myrtaceae,Eugenia,nutans,Eugenia nutans,2014,2014,Presence_absence,1301,1770,18,Seasonal Forest,YES,NA
KERB_10050,KERB,E10050,MORRETES,PARANA,PR,Brazil,ABUNDANCE,Dense Ombrophilous Forest,-25.447705,-48.929986,Forest fragment,Morro Facaozinho,Angiosperms,Orchidaceae,Cattleya,coccinea,Cattleya coccinea,holoepiphyte,NA,NA,NA,NA,2000,2001,Presence_only,1175,1714,22.2000007629395,Ombrophilous Forest,YES,NA
MENE_02093,MENE,E2111,LIMA DUARTE,MATO GROSSO DO SUL,MS,Brazil,NA,Cloud Forest,-21.71114,-43.89578,300,Parque Estadual do Ibitipoca,Angiosperms,Orchidaceae,Cattleya,coccinea,Cattleya coccinea,holoepiphyte,NA,NA,NA,NA,2016,2018,Abundance,1576,1649,19.7000007629395,Seasonal Forest,YES,NA
MENE2_28146,MENE2,E4572,LUIZIANA,PARANA,PR,Brazil,NA,NA,-24.532722,-52.433889,Coordinates given in the herbarium record,Estacao Ecologica Luiziana,Angiosperms,Bromeliaceae,Billbergia,nutans,Billbergia nutans,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,636,1677,22.6000003814697,Ombrophilous Forest,YES,NA
JABOT_02920,JABOT,464750,ITATIAIA,RIO DE JANEIRO,RJ,Brazil,NA,NA,-22.49,-44.56,Municipality,NA,Angiosperms,Orchidaceae,Epidendrum,secundum,Epidendrum secundum,holoepiphyte,NA,NA,NA,NA,2008,2008,Presence_only,462,1500,24.3999996185303,Seasonal Forest,YES,NA
FOUN_00424,FOUN,424,ITACARE,BAHIA,BA,Brazil,7,Dense Ombrophilous Forest,-14.348611,-39.064444,Plot,Capitao-Parque Estadual da Serra do Conduru,Angiosperms,Bromeliaceae,Aechmea,burle-marxii,Aechmea burle-marxii,holoepiphyte,NA,NA,NA,NA,2011,2012,Abundance,25,2058,25.2000007629395,Ombrophilous Forest,YES,NA
FEMA_00351,FEMA,E351,ARAQUARI,SANTA CATARINA,SC,Brazil,3,NA,-26.37,-48.721944,Municipality,Ilha dos Barcos,Ferns,Polypodiaceae,Campyloneurum,rigidum,Campyloneurum rigidum,holoepiphyte,NA,NA,NA,NA,2017,2017,Presence_only,3,1743,25.1000003814697,NA,YES,"The specimens examined for this study were compiled from the following herbaria: MBM, MO, NY, P, and UPCB Ribas 3408 -MBM-"
KERB_07901,KERB,E7901,FAZENDA RIO GRANDE,PARANA,PR,Brazil,ABUNDANCE,Mixed Ombrophilous Forest,-25.666271,-49.269229,Forest fragment,Fazenda Experimental Gralha Azul 3,Ferns,Polypodiaceae,Serpocaulon,catharinae,Serpocaulon catharinae,holoepiphyte,NA,NA,NA,NA,2012,2014,Presence_only,910,1294,20.5,Ombrophilous Forest,YES,NA
MENE2_14695,MENE2,E2245,ITABORAI,RIO DE JANEIRO,RJ,Brazil,NA,NA,-22.7444,-42.8594,Coordinates given in the herbarium record,NA,Angiosperms,Bromeliaceae,Aechmea,purpureorosea,Aechmea purpureorosea,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,62,1271,26.2000007629395,Ombrophilous Forest,YES,NA
KERB_11812,KERB,E11812,PARANAGUA,PARANA,PR,Brazil,ABUNDANCE,Low Restinga Forest,-25.521936,-48.316041,Forest fragment,Low height restinga forest,Angiosperms,Orchidaceae,Octomeria,fibrifera,Octomeria fibrifera,holoepiphyte,Lauraceae,Ocotea,pulchella,Ocotea pulchella,1997,1999,Presence_only,NA,NA,NA,Ombrophilous Forest,YES,NA
