Accepted name,Name as entered,locality/site,Country,Latitude,Longitude,Altitude (m),Vegetation type,Reference,Specimen details
Ceiba speciosa (A.St.-Hil.) Ravenna,Ceiba speciosa (A.St.-Hil.) Ravenna,"Amaporã, floresta semidecidual",Brazil,-23.064399719238,-52.336101531982,466,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Guettarda viburnoides Cham. & Schltdl.,Guettarda viburnoides Cham. & Schltdl.,"Frei Serafim, floresta semidecidual",Brazil,-18.17140007019,-41.826900482178,539,Seasonally dry Semideciduous Broadleaved Forest,"SCOLFORO, J.R.S. & CARVALHO, L.M.T. (EDS.) 2007 Editora UFLA, Lavras, MG, Brasil. Mapeamento e inventário da flora nativa e dos reflorestamentos de Minas Gerais.",NA
Myrcia guianensis (Aubl.) DC.,Myrcia guianensis (Aubl.) DC.,"Araçuaí, caatinga arbórea",Brazil,-16.906099319458,-42.107200622559,336,Arid Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Trichilia catigua A.Juss.,Trichilia catigua A.Juss.,"Diamante do Norte, floresta semidecidual",Brazil,-22.624200820923,-52.866901397705,336,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Cordia sellowiana Cham.,Cordia sellowiana Cham.,"Assis, floresta semidecidual",Brazil,-22.576900482178,-50.376098632812,559,Seasonally dry Semideciduous Broadleaved Forest,"DURIGAN, G. & LEITÃO FILHO, H.F. 1995 Floristica e fitossociologia de matas ciliares do oeste paulista. Revista do Instituto Florestal 7 (1): 197-239.",NA
Ruprechtia paranensis Pendry,Ruprechtia paranensis Pendry,"Guapirama, floresta semidecidual",Brazil,-23.447799682617,-53.300300598145,387,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Jacaranda cuspidifolia Mart. ex A.DC.,Jacaranda cuspidifolia Mart. ex A.DC.,MG-BOM DESPACHO Cerrado sensu stricto CE80,Brazil,-19.78569984436,-45.326801300049,NA,NA,"FRANÇOSO, R. 2014 Unpublished.",NA
Erythroxylum cuneifolium (Mart.) O.E.Schulz,Erythroxylum cuneifolium (Mart.) O.E.Schulz,"Astorga, floresta semidecidual",Brazil,-23.255599975586,-51.031700134277,434,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Dalbergia frutescens (Vell.) Britton,Dalbergia frutescens (Vell.) Britton,"Cornélio Procópio, floresta semidecidual",Brazil,-23.163600921631,-50.340301513672,492,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Alibertia edulis (Rich.) A.Rich. ex DC.,Alibertia edulis (Rich.) A.Rich. ex DC.,"Edéia, floresta ripícola",Brazil,-16.545999526978,-49.134998321533,NA,NA,"HAIDAR, R.F. 2008 Dissertação de Mestrado, Universidade de Brasília, Brasília, DF, Brasil. Fitossociologia, diversidade e sua relação com variáveis ambientais em florestas estacionais do Bioma Cerrado no Planalto Central e Nordeste do Brasil.",NA
Cecropia hololeuca Miq.,Cecropia hololeuca Miq.,"Nanuque, floresta semidecidual",Brazil,-17.83219909668,-40.280799865723,224,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Cecropia glaziovii Snethl.,Cecropia glaziovii Snethl.,"Santana do Garambéu, floresta semidecidual",Brazil,-21.615600585938,-44.103900909424,1026,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Inga thibaudiana DC.,Inga thibaudiana DC.,"Afonso Cláudio, floresta semidecidual",Brazil,-20.077800750732,-41.113899230957,427,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Inga vera Willd.,Inga vera Willd.,"Marechal Cândido Rondon, floresta semidecidual",Brazil,-24.504699707031,-54.289699554443,234,Seasonally cold Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Actinostemon schomburgkii (Klotzsch) Hochr.,Actinostemon schomburgkii (Klotzsch) Hochr.,"Pedra Azul, floresta semidecidual de cipó",Brazil,-15.954400062561,-41.300800323486,731,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T.; TAMEIRÃO-NETO, E.; CARVALHO, W.A.C.; BRINA, A.E.; WERNECK, M. & ; VIDAL, C.V.; REZENDE, S.C. & PEREIRA, J.A.A. 2005  Analise floristica do compartimento arboreo de areas de floresta atlantica sensu lato na regiao das Bacias do Leste (Bahia, Minas Gerais, Espirito Santo e Rio de Janeiro). (Floristic analysis of the tree component of atlantic forest areas in central eastern Brazil .)",NA
Guarea kunthiana A.Juss.,Guarea kunthiana A.Juss.,"Fênix, floresta semidecidual",Brazil,-23.868600845337,-53.846698760986,347,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Inga marginata Willd.,Inga marginata Willd.,"São Gonçalo do Abaeté, floresta ripícola",Brazil,-18.370599746704,-45.832801818848,731,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Maytenus gonoclada Mart.,Maytenus gonoclada Mart.,"Buritis, floresta ripícola",Brazil,-15.596699714661,-46.424701690674,542,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Cryptocarya micrantha Meisn.,Cryptocarya micrantha Meisn.,"Santa Bárbara do Monte Verde, floresta semidecidual",Brazil,-21.968900680542,-43.77140045166,898,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Callisthene microphylla Warm.,Callisthene microphylla Warm.,Cord (Tocantins),Brazil,-6.7086000442505,-48.129699707031,NA,NA,"HAIDAR, R. F., FAGG, J. M. F., PINTO, J. R. R., DIAS, R. R., DAMASCO, G., SILVA, L.C. R., & FAGG, C. W 2013 Florestas estacionais e áreas de ecótono no estado do Tocantins, Brasil: parâmetros estruturais, classificação das fitofisionomias florestais e subsídios para conservação. Acta Amazonica. Florestas estacionais e áreas de ecótono no estado do Tocantins, Brasil: parâmetros estruturais, classificação das fitofisionomias florestais e subsídios para conservação. 43(3): 261-290",NA
Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,"Arealva, floresta semidecidual",Brazil,-21.975299835205,-48.909400939941,506,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Posoqueria latifolia (Rudge) Roem. & Schult.,Posoqueria latifolia (Rudge) Roem. & Schult.,"Juramento, floresta ripícola",Brazil,-16.777200698853,-43.698299407959,609,Seasonally dry Semideciduous Broadleaved Forest,"SCOLFORO, J.R.S. & CARVALHO, L.M.T. (EDS.) 2007 Editora UFLA, Lavras, MG, Brasil. Mapeamento e inventário da flora nativa e dos reflorestamentos de Minas Gerais.",NA
Handroanthus serratifolius (Vahl) S.O.Grose,Handroanthus serratifolius (Vahl) S.O.Grose,"Lagoa da Prata, floresta semidecidual",Brazil,-20.001699447632,-45.621898651123,666,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Jacaranda cuspidifolia Mart. ex A.DC.,Jacaranda cuspidifolia Mart. ex A.DC.,"Arenápolis, floresta ripícola",Brazil,-17.193300247192,-56.924701690674,116,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Zygia latifolia (L.) Fawc. & Rendle,Zygia latifolia (L.) Fawc. & Rendle,"Planalto de Minas, carrasco",Brazil,-17.506900787354,-43.190601348877,908,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Annona cacans Warm.,Annona cacans Warm.,"Rio Pomba, floresta semidecidual",Brazil,-21.273099899292,-43.10530090332,581,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Terminalia glabrescens Mart.,Terminalia glabrescens Mart.,"Pereira Barreto, floresta semidecidual",Brazil,-20.558099746704,-50.990600585938,359,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Faramea stipulacea (Cham. & Schltdl.) DC.,Faramea stipulacea (Cham. & Schltdl.) DC.,"Ilha do Cabo Frio, floresta semidecidual",Brazil,-22.994699478149,-41.989200592041,257,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Myrsine umbellata Mart.,Myrsine umbellata Mart.,"Serra da Moeda, floresta semidecidual",Brazil,-20.270299911499,-43.969398498535,1136,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Gymnanthes klotzschiana Müll.Arg.,Gymnanthes klotzschiana Müll.Arg.,"Cabeça de Boi, floresta semidecidual",Brazil,-19.406099319458,-43.423099517822,847,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
