scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Mouriri elliptica,Melastomataceae,Mouriri elliptica Mart.,Melastomataceae,Mouriri elliptica,Mart.,flowering plants,Accepted,Melastomataceae,Mart.,-11.418611,-46.835833,2009-07-03,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
NA,CUCURBITACEAE,CUCURBITACEAE,Cucurbitaceae,Cucurbitaceae,Juss.,flowering plants,Accepted,Cucurbitaceae,Juss.,-19.9075,-40.553056,2002-09-17,SpeciesLink,MBML,MBML,MBML,MBML-Herbario,125,1
Couma macrocarpa,Apocynaceae,Couma macrocarpa Barb.Rodr.,Apocynaceae,Couma macrocarpa,Barb. Rodr.,flowering plants,Accepted,Apocynaceae,Barb. Rodr.,-9.4643,-57.47,1997-05-30,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,1
Vriesea ruschii,Bromeliaceae,Vriesea ruschii L.B.Sm.,Bromeliaceae,Vriesea ruschii,L.B. Sm.,flowering plants,Accepted,Bromeliaceae,L.B. Sm.,-20.176944,-40.924167,2002-10-20,GBIF,MBML,MBML,MBML,MBML-HERBARIO,3510,1
Acanthospermum hispidum,Asteraceae,Acanthospermum hispidum DC.,Asteraceae,Acanthospermum hispidum,DC.,flowering plants,Accepted,Asteraceae,DC.,-10.737778,-36.855833,2011-07-13,GBIF,"Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS",ASE,3114,1
Peperomia blanda,Piperaceae,Peperomia blanda Kunth,Piperaceae,Peperomia blanda,(Jacq.) Kunth,flowering plants,Accepted,Piperaceae,(Jacq.) Kunth,-24.068889,-49.065,2009-01-28,GBIF,IF,IF,IF,SPSF,2774,1
Sauvagesia erecta,Ochnaceae,Sauvagesia erecta,Ochnaceae,Sauvagesia erecta,L.,flowering plants,Accepted,Ochnaceae,L.,-7.7161111111,-34.9905555556,2007-10-18,SpeciesLink,UFPB,UFPB,UFPB,JPB,306,1
Desmodium distortum,Fabaceae,Desmodium distortum (Aubl.) J. Macbr.,Fabaceae,Desmodium distortum,NA,flowering plants,Accepted,Fabaceae,NA,-22.25,-47.81972,1901-01-01,NY,NY,NY,NY,Herbarium,104,1
Micropterygium trachyphyllum,Lepidoziaceae,Micropterygium trachyphyllum Reimers,Lepidoziaceae,Micropterygium trachyphyllum,Reimers,bryophytes,Accepted,Lepidoziaceae,Reimers,-11.65,-40.883333,2003-04-22,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
Andira cordata,Fabaceae,Andira cordata Arroyo ex R.T.Penn. & H.C.Lima,Fabaceae,Andira cordata,Arroyo ex R.T. Penn. & H.C. Lima,flowering plants,Accepted,Fabaceae,Arroyo ex R.T. Penn. & H.C. Lima,-7.480833,-39.330833,2016-09-10,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
