database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.scientificName_empty,.basisOfRrecords_notStandard,country_suggested,countryCode,coordinates_transposed,.coordinates_country_inconsistent
IDIGBIO_1483,Tetrapterys,,,94a8cf21-42c3-46c2-8acb-eb9468348854,1973-05-18,Brasil,Amazonas,"","Rio negro, próximo a boca do rio Curicuriari. Sobre a vegetação da margem do rio.",,PreservedSpecimen,"",,Mike Hopkins,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1485,Stylosanthes,,,8e230169-5f16-45b6-9dca-c13a874cd77f,"",Brasil,Bahia,"","",,PreservedSpecimen,"",,"Teixeira, Q",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1486,Irlbachia alata,,,676f5a12-f0e4-4f71-a82c-c6c7e4e8d90e,"",Brasil,Mato Grosso,"",Chapada dos Guimarão.,,PreservedSpecimen,"",,"Campos, M.C.A.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1490,Enterolobium contortisiliquum,,,57a947ac-3de2-4dd5-b7b2-fab9b49622ed,"",Brasil,Rio de Janeiro,"","Jardim de Araras, Pedra do Oratório.",,PreservedSpecimen,E.R.de Souza,,"Lima, H.C.de",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1491,Miconia theaezans,,,56259948-7e6d-42ee-9bd9-c27b98da49c9,"",Brazil,Paraná,"","Estrada da Graciosa, Alto da Serra",,PreservedSpecimen,"Brade, A.C.",,"Hatschbach, G.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1492,Cayaponia,,,6294881e-fd19-4bd3-ac10-94998fc970eb,"",Brasil,Distrito Federal,"",Parque do Guará,,PreservedSpecimen,Incógnito,,"Heringer, EP",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1493,Chrysolaena lithospermifolia,,,2b393adc-4f8b-4776-adb0-6efc703ca94e,"",Brasil,Paraná,"",Cercado,,PreservedSpecimen,"Picoli, A.C.",,"Cordeiro, J.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1494,Emmeorhiza umbellata (Spreng.) K.Schum.,,,8ff525fd-c1a6-4db3-9127-b83afb82421c,14/08/2002,Brasil,Rio de Janeiro,"",Trilha para o pico do Tinguá. Tinguá,,PreservedSpecimen,S.J. Silva Neto,,C.G.V. Ramos; et al,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1495,Raddia soderstromii,,,6620226a-e4ba-4cab-9f1f-9107f3f93736,"",Brazil,Bahia,"",Fazenda uruguayana,,PreservedSpecimen,Poaceae Reorganization Project,,T. R. Soderstrom,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1496,Chrysobalanus icaco,,,d49ce9fa-eda2-4d48-807b-2b13c8d6c0c5,"",Brasil,Pernambuco,"",Av. São Sebastião.,,PreservedSpecimen,"Silva, A.",,"Silva, A.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
