database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.missing_name,.missing_xy,.invalid_xy,.xy_provenance,country_suggested,countryCode,transposed_xy,.xy_out_country,.summary
GBIF_42,Palicourea racemosa (Aubl.) Borhidi,,,1090403385,1991-07-01 00:00:00,BR,Bahia,,Rod. Uruçuca/Ilhéus.,,PRESERVED_SPECIMEN,SpeciesLink/lacunas,,R. P. Belém,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_43,Machaerina ensifolia (Boeckeler) T.Koyama,,,1077562702,1994-10-20 00:00:00,BR,Paraná,,Rio Pequeno,,PRESERVED_SPECIMEN,"Hatschbach, G.",,"Ribas, O.S.; Cordeiro, J.; Cordeiro, J.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_46,Allophylus L.,,,1089114455,1970-12-03 00:00:00,BR,Pernambuco,,Brejo dos cavalos.,,PRESERVED_SPECIMEN,"",,"Andrade-Lima, AD",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_49,Epistephium sclerophyllum Lindl.,,,416914140,,BR,Paraná,,Altiplanitie ribes in campis,,PRESERVED_SPECIMEN,-,,"Dusén, N. P.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_50,Lindsaea lancea (L.) Bedd.,,,1077305414,2008-09-19 00:00:00,BR,Mato Grosso,,FazendaSanto Antônio,,PRESERVED_SPECIMEN,"Athayde-Filho, F.P.",,"Campos, A.F.; Gonçalves, M.F.;Santos, J.O.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_52,Solanum paniculatum L.,,,1226937616,1995-04-18 00:00:00,BR,Pernambuco,,Mata do Estado,,PRESERVED_SPECIMEN,L. L. Giacomin,,M.C. Tschá; V. V. Henrique; M.J.N. Rodal; L. Silva,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_58,Dimorphandra Schott,,,1042510042,,BR,Amazonas,,"Parque Nacional do Jaú, Campina Nazaré",,PRESERVED_SPECIMEN,"Souza, M.A.D. de",,Mike Hopkins,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_59,Aegiphila Jacq.,,,1424178657,1961-08-20 00:00:00,BR,Bahia,,Entre Ajuda e Porto Seguro.,,PRESERVED_SPECIMEN,"",,A.P.Duarte,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_60,Hymenaea stigonocarpa Mart. ex Hayne,,,1087227707,1972-01-15 00:00:00,BR,Goiás,,"Cerrado em encosta próxima a riacho, 10 km de Pirenópolis",,PRESERVED_SPECIMEN,"Rocha, DMS",,"Irwin, HS; Anderson, WR; Stieber, M; Lee, EY-T",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_61,Lepidium aletes var. integrifolium (Thell.) Boelcke,,,2381466915,1968-07-21 00:00:00,BR,Pr,,Parque Nacional do Iguaçu,,PRESERVED_SPECIMEN,"Boelcke, O",,"Vianna, EC; et al.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_63,Castilleja arvensis Cham. & Schltdl.,,,1090764622,1979-11-02 00:00:00,BR,Rio Grande do Sul,,Cerrito do Ouro,,PRESERVED_SPECIMEN,"Souza, VC",,"Alvarez, A.F.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_67,Tibouchina sellowiana Cogn.,,,1095602519,2002-11-09 00:00:00,BR,Paraná,,Bom Retiro,,PRESERVED_SPECIMEN,"Goldenberg, R.",,"Marino Neto, F.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_68,Eriochrysis laxa Swallen,,,1252649468,1992-11-19 00:00:00,BR,"",,Serra do Iquererim.,,PRESERVED_SPECIMEN,"",,"Barbosa, E.; Cordeiro, J.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
