database_id,occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,family,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,taxonRank,identifiedBy,coordinateUncertaintyInMeters,recordedBy,cntr_suggested,cntr_iso2c,.inverted_xy,iso2c,iso3c,.invalid_xy,.outside_xy,.no_xy,.no_name,.doubtful_provenance,.locality_no_xy
GBIF_22,1802900930,Epidendrum mosenii Rchb.f.,NA,NA,1949-01-09T00:00:00Z,Orchidaceae,BR,Rs,NA,Morro das Abertas,NA,PRESERVED_SPECIMEN,SPECIES,Emrich-Rambo-Pabst,NA,"Rambo, B.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_23,2452802102,Serjania communis var. glabra Radlk.,NA,NA,1978-10-26T00:00:00Z,Sapindaceae,BR,São Paulo,NA,"Parque Estadual das Fontes do Ipiranga, Reserva Biológica.",NA,PRESERVED_SPECIMEN,VARIETY,"Barros, F; Cruz, MAV",NA,"Silvestre, MSF",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_25,1993827483,Swartzia bahiensis R.S.Cowan,NA,NA,2018-06-30T00:00:00Z,Fabaceae,BR,Pernambuco,NA,Usina Olho D'Água.,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Araújo, A.B.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_28,1095485845,Coccoloba laevis Casar.,NA,NA,NA,Polygonaceae,BR,Bahia,NA,Entre Alcobaça e Caravelas,NA,PRESERVED_SPECIMEN,SPECIES,"Howard, R.A.",NA,"Harley, R.M.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_29,2013844400,Pityrogramma calomelanos (L.) Link,NA,NA,2008-06-07T00:00:00Z,Pteridaceae,BR,Mato Grosso,NA,Mata de galeria do Córrego dos Índios.,NA,PRESERVED_SPECIMEN,SPECIES,"Athayde Filho, F.P.",NA,"Junior, P.N.; Pereira, M.F.G.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_31,1264701168,Erythrina falcata Benth.,NA,NA,1994-08-25T00:00:00Z,Fabaceae,BR,Paraná,NA,AFML - Associação dos Fucionários Municipais,NA,PRESERVED_SPECIMEN,SPECIES,"Soares-Silva, L.H.",NA,"Chagas; Silva, F.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_34,1077485659,Porophyllum ruderale var. ruderale,NA,NA,1986-05-02T00:00:00Z,Asteraceae,BR,Rio Grande do Sul,NA,BR 290,NA,PRESERVED_SPECIMEN,VARIETY,"Carneiro, C. .R.",NA,"Wasum, R.A.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_36,1802944573,Niphidium crassifolium (L.) Lellinger,NA,NA,2001-11-10T00:00:00Z,Polypodiaceae,BR,Rs,NA,Alto Ferrabraz,NA,PRESERVED_SPECIMEN,SPECIES,C.R. Lehn,NA,C. R. Lehn,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_39,1090715782,Tibouchina Aubl.,NA,NA,1996-03-31T00:00:00Z,Melastomataceae,BR,Goiás,NA,"Mata ciliar, córrego Mumbuca.",NA,PRESERVED_SPECIMEN,GENUS,NA,NA,"Gomes- Klein, V.L.; Cesar, R.; et al.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_42,1090403385,Palicourea racemosa (Aubl.) Borhidi,NA,NA,1991-07-01T00:00:00Z,Rubiaceae,BR,Bahia,NA,Rod. Uruçuca/Ilhéus.,NA,PRESERVED_SPECIMEN,SPECIES,SpeciesLink/lacunas,NA,R. P. Belém,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_43,1077562702,Machaerina ensifolia (Boeckeler) T.Koyama,NA,NA,1994-10-20T00:00:00Z,Cyperaceae,BR,Paraná,NA,Rio Pequeno,NA,PRESERVED_SPECIMEN,SPECIES,"Hatschbach, G.",NA,"Ribas, O.S.; Cordeiro, J.; Cordeiro, J.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_46,1089114455,Allophylus L.,NA,NA,1970-12-03T00:00:00Z,Sapindaceae,BR,Pernambuco,NA,Brejo dos cavalos.,NA,PRESERVED_SPECIMEN,GENUS,NA,NA,"Andrade-Lima, AD",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_49,416914140,Epistephium sclerophyllum Lindl.,NA,NA,NA,Orchidaceae,BR,Paraná,NA,Altiplanitie ribes in campis,NA,PRESERVED_SPECIMEN,SPECIES,-,NA,"Dusén, N. P.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_50,1077305414,Lindsaea lancea (L.) Bedd.,NA,NA,2008-09-19T00:00:00Z,Lindsaeaceae,BR,Mato Grosso,NA,FazendaSanto Antônio,NA,PRESERVED_SPECIMEN,SPECIES,"Athayde-Filho, F.P.",NA,"Campos, A.F.; Gonçalves, M.F.;Santos, J.O.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_52,1226937616,Solanum paniculatum L.,NA,NA,1995-04-18T00:00:00Z,Solanaceae,BR,Pernambuco,NA,Mata do Estado,NA,PRESERVED_SPECIMEN,SPECIES,L. L. Giacomin,NA,M.C. Tschá; V. V. Henrique; M.J.N. Rodal; L. Silva,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_58,1042510042,Dimorphandra Schott,NA,NA,NA,Fabaceae,BR,Amazonas,NA,"Parque Nacional do Jaú, Campina Nazaré",NA,PRESERVED_SPECIMEN,GENUS,"Souza, M.A.D. de",NA,Mike Hopkins,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_59,1424178657,Aegiphila Jacq.,NA,NA,1961-08-20T00:00:00Z,Lamiaceae,BR,Bahia,NA,Entre Ajuda e Porto Seguro.,NA,PRESERVED_SPECIMEN,GENUS,NA,NA,A.P.Duarte,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_60,1087227707,Hymenaea stigonocarpa Mart. ex Hayne,NA,NA,1972-01-15T00:00:00Z,Fabaceae,BR,Goiás,NA,"Cerrado em encosta próxima a riacho, 10 km de Pirenópolis",NA,PRESERVED_SPECIMEN,SPECIES,"Rocha, DMS",NA,"Irwin, HS; Anderson, WR; Stieber, M; Lee, EY-T",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_61,2381466915,Lepidium aletes var. integrifolium (Thell.) Boelcke,NA,NA,1968-07-21T00:00:00Z,Brassicaceae,BR,Pr,NA,Parque Nacional do Iguaçu,NA,PRESERVED_SPECIMEN,VARIETY,"Boelcke, O",NA,"Vianna, EC; et al.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_63,1090764622,Castilleja arvensis Cham. & Schltdl.,NA,NA,1979-11-02T00:00:00Z,Orobanchaceae,BR,Rio Grande do Sul,NA,Cerrito do Ouro,NA,PRESERVED_SPECIMEN,SPECIES,"Souza, VC",NA,"Alvarez, A.F.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_67,1095602519,Tibouchina sellowiana Cogn.,NA,NA,2002-11-09T00:00:00Z,Melastomataceae,BR,Paraná,NA,Bom Retiro,NA,PRESERVED_SPECIMEN,SPECIES,"Goldenberg, R.",NA,"Marino Neto, F.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_68,1252649468,Eriochrysis laxa Swallen,NA,NA,1992-11-19T00:00:00Z,Poaceae,BR,NA,NA,Serra do Iquererim.,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Barbosa, E.; Cordeiro, J.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_69,1089107893,Chusquea capituliflora Trin.,NA,NA,2006-10-25T00:00:00Z,Poaceae,BR,São Paulo,NA,Parque Estadual Intervales.,NA,PRESERVED_SPECIMEN,SPECIES,"Santos, AG",NA,"Santos, AG",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_70,1314898365,Diplasia karatifolia Rich.,NA,NA,1983-08-07T00:00:00Z,Cyperaceae,BR,Amapá,NA,Amapá,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Rabelo, B.V.; Mori, S.A.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_71,1042490259,Lecythis pisonis Cambess.,NA,NA,1963-08-26T00:00:00Z,Lecythidaceae,BR,Rio de Janeiro,NA,Quinta da Boa Vista.,NA,PRESERVED_SPECIMEN,SPECIES,"Mori, S.A.",NA,Mike Hopkins,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_72,1096929730,Streptogyna americana C.E.Hubb.,NA,NA,2007-05-15T00:00:00Z,Poaceae,BR,Es,NA,Parcela 100x100 da Gávea,NA,PRESERVED_SPECIMEN,SPECIES,Geovane S. Siqueira,NA,"Folli, D.A.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_73,1086899553,Polygala cuspidata DC.,NA,NA,2002-12-26T00:00:00Z,Polygalaceae,BR,Sp,NA,P.E.Juqueri,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,J.B.Baitello,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_75,1424005359,Diplusodon microphyllus Pohl,NA,NA,1979-05-23T00:00:00Z,Lythraceae,BR,Minas Gerais,NA,Cachoeira das Andorinhas.,NA,PRESERVED_SPECIMEN,SPECIES,A.Lourteig,NA,L.Mautone,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_76,1423977344,Casearia commersoniana Cambess.,NA,NA,1994-08-24T00:00:00Z,Salicaceae,BR,Rio de Janeiro,NA,"J.B.R.J., SUBINDO DO CACTÁRIO.",NA,PRESERVED_SPECIMEN,SPECIES,C.GARCIA,NA,A.QUINET; P.BOTELHO & R. MARQUETE,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_80,2517199262,Aeschynomene paniculata Willd.,NA,NA,1971-01-13T00:00:00Z,Fabaceae,BR,NA,NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaço. Base of Serra da Piedade, ca. 35km E. of Belo Horizonte, road to Caete.",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,Irwin HS; Harley RM; Onishi E,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_82,1424208419,Costus sprucei Maas,NA,NA,1924-03-18T00:00:00Z,Costaceae,BR,Pará,NA,Santa Júlia,NA,PRESERVED_SPECIMEN,SPECIES,P.J.M. Maas,NA,J.G. Kuhlmann,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_84,1424731198,Jasminum azoricum L.,NA,NA,2003-03-28T00:00:00Z,Oleaceae,BR,São Paulo,NA,"IAC, Faz. Santa Elisa",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,E. Zuchiwschi,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_85,1086875964,Guettarda viburnoides Cham. & Schltdl.,NA,NA,NA,Rubiaceae,BR,Sp,NA,Horto Florestal,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,M.Koscinski,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
