input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:3248274,202,GBIF:3248274,Plathymenia,genus,accepted,GBIF:3248274,Animalia,Mollusca,Solenogastres,Cavibelonia,Amphimeniidae,Plathymenia,,,6891,,"Schwabl, 1961",
GBIF:2960738,203,GBIF:2960738,Plathymenia,genus,accepted,GBIF:2960738,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Plathymenia,,,5386,,Benth.,
GBIF:2302859,204,GBIF:2302859,Metzgeria,genus,accepted,GBIF:2302859,Animalia,Mollusca,Gastropoda,Neogastropoda,Ptychatractidae,Metzgeria,,,4960558,,"Norman, 1879",
GBIF:2689517,205,GBIF:2689517,Metzgeria,genus,accepted,GBIF:2689517,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,,,2274,,Raddi,boomvorkje
GBIF:9137283,206,GBIF:9137283,Diplusodon punctatus punctatus,subspecies,accepted,GBIF:9137283,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Diplusodon,punctatus,punctatus,7286360,,,
GBIF:7286361,207,GBIF:7286361,Diplusodon punctatus punctatus,variety,accepted,GBIF:7286361,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Diplusodon,punctatus,punctatus,7286360,,,
GBIF:2889340,208,GBIF:2889340,Persicaria hydropiperoides,species,accepted,GBIF:2889340,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,hydropiperoides,,6390748,,Small,Swamp smartweed
GBIF:2889340,209,GBIF:2889340,Persicaria hydropiperoides,species,accepted,GBIF:2889340,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,hydropiperoides,,6390748,,Small,Swamp smartweed
GBIF:6390957,210,GBIF:6390957,Persicaria punctata,species,accepted,GBIF:6390957,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,punctata,,6390748,,Small,water smartweed
GBIF:4034001,211,GBIF:4034001,Persicaria nepalensis,species,accepted,GBIF:4034001,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,nepalensis,,6390748,5334455,H.Gross (Meisn.),산여뀌
GBIF:4034001,212,GBIF:4034001,Persicaria nepalensis,species,accepted,GBIF:4034001,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,nepalensis,,6390748,5334455,H.Gross (Meisn.),산여뀌
GBIF:7291486,213,GBIF:7291486,Persicaria lapathifolia lapathifolia,subspecies,accepted,GBIF:7291486,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,lapathifolia,lapathifolia,2889262,,,strandpilört
GBIF:1664661,214,GBIF:1664661,Heteropogon,genus,accepted,GBIF:1664661,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Heteropogon,,,7275,,"Loew, 1847",
GBIF:2706043,215,GBIF:2706043,Heteropogon,genus,accepted,GBIF:2706043,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Heteropogon,,,3073,,Pers.,tanglehead grass
GBIF:3978718,216,GBIF:3978718,Mimosa gracilis brevissima,variety,accepted,GBIF:3978718,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gracilis,brevissima,2969402,,Barneby,
GBIF:8857110,217,GBIF:8857110,Mimosa gracilis brevissima,subspecies,accepted,GBIF:8857110,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gracilis,brevissima,2969402,,Barneby,
GBIF:1009545,218,GBIF:1009545,Mollia,genus,accepted,GBIF:1009545,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Microporidae,Mollia,,,2139,,"Lamouroux, 1821",
GBIF:3233956,219,GBIF:3233956,Mollia,genus,accepted,GBIF:3233956,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Mollia,,,6685,,Mart.,
GBIF:3187737,220,GBIF:3187737,Baeckea,genus,accepted,GBIF:3187737,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Baeckea,,,5014,,L.,
GBIF:3233956,221,GBIF:3233956,Mollia,genus,accepted,GBIF:3233956,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Mollia,,,6685,,Mart.,
GBIF:1787988,222,GBIF:1787988,Chara,genus,accepted,GBIF:1787988,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Chara,,,7015,,"Staudinger, 1892",
GBIF:2637982,223,GBIF:2637982,Chara,genus,accepted,GBIF:2637982,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,,,8782,,"Linnaeus, 1753",sträfsen
GBIF:7602021,224,GBIF:7602021,Miconia tristis tristis,subspecies,accepted,GBIF:7602021,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,tristis,tristis,7601120,,,
GBIF:8802971,225,GBIF:8802971,Miconia tristis tristis,variety,accepted,GBIF:8802971,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,tristis,tristis,7601120,,,
GBIF:8249974,226,GBIF:8249974,Parkia,genus,accepted,GBIF:8249974,Animalia,Nematoda,Adenophorea,Araeolaimida,Plectidae,Parkia,,,2607,,"Yeates, 1967",
GBIF:2943936,227,GBIF:2943936,Parkia,genus,accepted,GBIF:2943936,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parkia,,,5386,,R.Br.,
GBIF:2356953,228,GBIF:2356953,Lutjanus,genus,accepted,GBIF:2356953,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,,,8542,,"Bloch, 1790",フエダイ
GBIF:1520645,229,GBIF:1520645,Ormosia,genus,accepted,GBIF:1520645,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Ormosia,,,5580,,"Rondani, 1856",
GBIF:2960439,230,GBIF:2960439,Ormosia,genus,accepted,GBIF:2960439,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ormosia,,,5386,,Jacks.,
GBIF:7068544,231,GBIF:7068544,Mimosa aurivillus aurivillus,variety,accepted,GBIF:7068544,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,aurivillus,aurivillus,2969820,,,
GBIF:9048273,232,GBIF:9048273,Mimosa aurivillus aurivillus,subspecies,accepted,GBIF:9048273,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,aurivillus,aurivillus,2969820,,,
GBIF:2949948,233,GBIF:2949948,Chamaecrista desvauxii graminea,variety,accepted,GBIF:2949948,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,desvauxii,graminea,2949909,,H.S.Irwin & Barneby,
GBIF:8983116,234,GBIF:8983116,Chamaecrista desvauxii graminea,subspecies,accepted,GBIF:8983116,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,desvauxii,graminea,2949909,,Irwin & Barneby,
GBIF:8231591,235,GBIF:8231591,Ottonia,genus,accepted,GBIF:8231591,Animalia,Mollusca,Gastropoda,Stylommatophora,Athoracophoridae,Ottonia,,,9464,,"Simroth, 1920",
GBIF:7304815,236,GBIF:7304815,Ottonia,genus,accepted,GBIF:7304815,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Ottonia,,,6678,,Spreng.,
GBIF:4308004,237,GBIF:4308004,Heptacyclus,genus,accepted,GBIF:4308004,Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Heptacyclus,,,3576,,"Vasileyev, 1939",ムチウオビル
GBIF:4406192,238,GBIF:4406192,Camerotrombidium,genus,accepted,GBIF:4406192,Animalia,Arthropoda,Arachnida,Prostigmata,Microtrombidiidae,Camerotrombidium,,,2814,,"Thor, 1936",
GBIF:2226620,239,GBIF:2226620,Pitho,genus,accepted,GBIF:2226620,Animalia,Arthropoda,Malacostraca,Decapoda,Mithracidae,Pitho,,,8150,,"Bell, 1836",
GBIF:7347188,240,GBIF:7347188,Syrrhopodon prolifer prolifer,subspecies,accepted,GBIF:7347188,Plantae,Bryophyta,Bryopsida,Pottiales,Calymperaceae,Syrrhopodon,prolifer,prolifer,2670298,,,
GBIF:8132959,241,GBIF:8132959,Syrrhopodon prolifer prolifer,variety,accepted,GBIF:8132959,Plantae,Bryophyta,Bryopsida,Pottiales,Calymperaceae,Syrrhopodon,prolifer,prolifer,2670298,,,
GBIF:8757636,242,GBIF:8757636,Mimosa pseudoradula detonsa,subspecies,accepted,GBIF:8757636,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,pseudoradula,detonsa,7266229,,Barneby,
