database_id,occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,family,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,taxonRank,identifiedBy,coordinateUncertaintyInMeters,recordedBy,cntr_suggested,cntr_iso2c,decimalLongitude_modified,decimalLatitude_modified,iso2c,iso3c,.xy_issue
GBIF_8569,2452844221,Spigelia riedeliana (Progel) E.F.Guim. & Fontella,NA,NA,1988-10-31T00:00:00Z,Loganiaceae,BR,Minas Gerais,NA,"Serra do Cabral, Ca 15 km de Joaquim Felício, Serra do Cabral, Morro do Junção",NA,PRESERVED_SPECIMEN,SPECIES,"Fernandez Casas, FJ",NA,"Kral, R; Wanderley, MGL",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8570,1094919564,Leguminosae,NA,NA,1999-10-19T00:00:00Z,Fabaceae,BR,Espírito Santo,NA,"Estrada Santa Teresa à 25 de Julho. Mata secundária, beira de estrada.",NA,PRESERVED_SPECIMEN,FAMILY,NA,NA,"Demuner, V.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8572,2302336501,Bignoniaceae,NA,NA,2001-02-16T00:00:00Z,Bignoniaceae,BR,Minas Gerais,NA,"Rodovia para Paula Candido, próximo a entrada para o bairro Romão dos Reis.",NA,PRESERVED_SPECIMEN,FAMILY,Márdel Miranda Mendes,NA,Márdel M.M.Lopes;Rita M.de Carvalho-Okano,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8573,1090676615,Asplenium auriculatum Sw.,NA,NA,1986-09-04T00:00:00Z,Aspleniaceae,BR,Paraná,NA,Fazenda Santa Helena,NA,PRESERVED_SPECIMEN,SPECIES,"Salino, A.",NA,"Paro, F.E.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8574,1314846883,Byttneria divaricata Benth.,NA,NA,NA,Malvaceae,BR,Pará,NA,Altamira,NA,PRESERVED_SPECIMEN,SPECIES,"Rosa, N.A.",NA,"Salomão,  R.P.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8575,1260763426,Eryngium zosterifolium H.Wolff,NA,NA,1984-01-01T00:00:00Z,Apiaceae,BR,Santa Catarina,NA,"Lauro Muller: Serra do Rio do Rastro, near the edge of the plateau above, by the monument for Ireneu Bornhausen. Meadow.",NA,PRESERVED_SPECIMEN,SPECIES,TMP,NA,Troels M. Pedersen,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8576,1423995474,Sesbania marginata Benth.,NA,NA,1939-04-24T00:00:00Z,Fabaceae,BR,Rio de Janeiro,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,G.P. Lewis,NA,Dionisio Constantino,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8579,1258197467,Murdannia paraguayensis G.Brückn.,NA,NA,1965-09-18T00:00:00Z,Commelinaceae,BR,Distrito Federal,NA,"Gallery forest and adjacent marshy campo, Rio Torto, immediately N of Brasília.",NA,PRESERVED_SPECIMEN,SPECIES,D.R. Hunt,NA,Howard S. Irwin|R. Souza|R. Reis dos Santos,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8581,1077451482,Rhynchosia corylifolia Mart. ex Benth.,NA,NA,1980-11-01T00:00:00Z,Fabaceae,BR,Rio Grande do Sul,NA,"A 2Km. da encruzilhada para Porto Alegre,",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Mattos, J.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8583,2302375143,Fabaceae,NA,NA,2005-11-17T00:00:00Z,Fabaceae,BR,Rio Grande do Norte,NA,"Campus central da UFRN., Florestinha do CB. Vegetação antropizada.",NA,PRESERVED_SPECIMEN,FAMILY,"Queiroz, R.T.",NA,"Queiroz, R.T.;",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8585,1086614419,Monteiroa dusenii (Ekman) Krapov.,NA,NA,1969-10-29T00:00:00Z,Malvaceae,BR,Paraná,NA,Rio Guamirim,NA,PRESERVED_SPECIMEN,SPECIES,"Grings, M.",NA,"Hatschbach, G.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8587,438477298,Chresta speciosa Gardner,NA,NA,1816-01-01T00:00:00Z,Asteraceae,BR,Goiás,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,Nakajima,NA,"Saint-Hilaire, A.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8590,1260566202,Posoqueria latifolia Roem. & Schult.,NA,NA,1986-01-01T00:00:00Z,Rubiaceae,BR,Espírito Santo,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,C. M. Taylor,NA,H.Q. Boudet Fernandes,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8592,1848243585,Adiantum raddianum C.Presl,NA,NA,2009-09-29T00:00:00Z,Pteridaceae,BR,Paraná,NA,"Bairro Bom Retiro, jardim residencial",NA,PRESERVED_SPECIMEN,SPECIES,"Canestraro, B.K.",NA,"Canestraro, B.K.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8593,1424290572,Paragonia pyramidata (L.C.Rich.) Bur.,NA,NA,1958-09-10T00:00:00Z,Bignoniaceae,BR,Rio de Janeiro,NA,Jardim Botânico.,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Edmundo Pereira; Liene, Sucre e Duarte",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8594,1259768138,Schinus longifolia var. longifolia,NA,NA,1905-03-02T00:00:00Z,Anacardiaceae,BR,Rio Grande do Sul,NA,New Würtenberg,NA,PRESERVED_SPECIMEN,VARIETY,NA,NA,A. Bornmüller,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8596,1087002506,Lychnophora gardneri Sch.Bip.,NA,NA,1892-04-14T00:00:00Z,Asteraceae,BR,Minas Gerais,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,"Semir, J.",NA,"Glaziou, A.F.M.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8598,1087480296,Adenocalymma marginatum DC.,NA,NA,1986-01-03T00:00:00Z,Bignoniaceae,BR,Rs,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,"DURIGON,J.",NA,"BUTZKE, A.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8600,1701530169,Luehea althaeiflora Spruce ex Bentham,NA,NA,NA,Malvaceae,BR,NA,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,REFLORA provisional entry,BRAZIL,BR,NA,NA,NA,NA,TRUE
