input	temp_id	scientificName	scientificNameAuthorship	family	taxonRank	taxonomicStatus	names_cleaned
Orchidaceae polystachya estrellensis reichb.f.	35	NA	NA	NA	NA	NA	orchidaceae polystachya
Pontederiaceae Heteranthera reniformis Ruiz & Pav.	37	NA	NA	NA	NA	NA	pontederiaceae heteranthera
Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho	44	Tachigali rubiginosa	Oliveira-Filho (Mart. ex Tul.)	Fabaceae	species	homotypic synonym	tachigali rubiginosa
Phyllanthaceae Phyllanthus martii Müll.Arg.	36	NA	NA	NA	NA	NA	phyllanthaceae phyllanthus
